100
5444750424662123/19531250000000000 58615572550861/61035156250000
-2425697541087603/2441406250000000 8848212175430331/78125000000000000
2225652590061237/2441406250000000 -802769217503619/1953125000000000
-4573396088607349/78125000000000000 -2437219469677627/2441406250000000
3270419378015081/39062500000000000 4865669377353669/4882812500000000
-4864046708332747/4882812500000000 -1710707593078927/19531250000000000
746922191474191/976562500000000 6291117200383743/9765625000000000
-3551895148720401/4882812500000000 3350507239606077/4882812500000000
1650324102353151/1953125000000000 -5222852723410037/9765625000000000
568180957178359/610351562500000 -1783469512985521/4882812500000000
-1524110714369921/1953125000000000 305346503579111/488281250000000
-1787050755101951/2441406250000000 -3326808726830329/4882812500000000
499584399477337/610351562500000 -5610149833750909/9765625000000000
-202065017593283/305175781250000 1463656158988331/1953125000000000
1274240432311473/1953125000000000 3700513972990501/4882812500000000
-30510895186447/30517578125000 6539581303411273/312500000000000000
4994471787411727/39062500000000000 4842736438817979/4882812500000000
-1194424647620651/1953125000000000 -482915849252341/610351562500000
-4794011192663491/4882812500000000 -3707968920632257/19531250000000000
1125078378645631/1220703125000000 1894475172870349/4882812500000000
-585740739086927/1953125000000000 -4658060924488121/4882812500000000
-172256228282049/4882812500000000 -4879773119928251/4882812500000000
-4628797691877669/4882812500000000 6217510547251797/19531250000000000
4563393846590753/4882812500000000 -1389628902647933/3906250000000000
-323197136859611/390625000000000 5484723178449271/9765625000000000
-239829844898851/244140625000000 -7308148256727067/39062500000000000
7389132783353229/9765625000000000 -3192496998847437/4882812500000000
-8295556739433071/19531250000000000 8841004820513143/9765625000000000
-13876329488769/15625000000000 8978107480762567/19531250000000000
8077336820828751/9765625000000000 -1372134776623389/2441406250000000
254701959751191/1220703125000000 4775341715242867/4882812500000000
-6383235456998759/9765625000000000 3695325991747509/4882812500000000
311668272867179/1953125000000000 60253048364541/61035156250000
606576016235883/610351562500000 -8676253538539373/78125000000000000
368335813035449/610351562500000 7786885527765049/9765625000000000
839732350748963/976562500000000 2492608550855261/4882812500000000
6639546919940953/78125000000000000 -973029422224887/976562500000000
-2285676697760447/2441406250000000 3431959232517687/9765625000000000
-835141773624617/2441406250000000 2294123513563773/2441406250000000
3787012958384709/39062500000000000 2429905990258923/2441406250000000
1214045018532951/1220703125000000 -509286753962323/4882812500000000
-4409672491678089/9765625000000000 8713335765179863/9765625000000000
-101255939294369/122070312500000 5454331681275111/9765625000000000
-4598602197800917/39062500000000000 4848859021841473/4882812500000000
3553338362883767/9765625000000000 -4548109995357509/4882812500000000
-48029735107083/48828125000000 1407002706433799/7812500000000000
8115669756585953/78125000000000000 -4856395400575071/4882812500000000
1763387852383727/7812500000000000 475680513892603/488281250000000
1218042447604903/1220703125000000 2577681978569251/39062500000000000
4051593187868187/19531250000000000 -597074835004969/610351562500000
5943574290572411/9765625000000000 -7748635769803073/9765625000000000
4812678018508477/4882812500000000 -6596911763892267/39062500000000000
5916069919367621/9765625000000000 -971206951666477/1220703125000000
1800326034207251/1953125000000000 -1893283253010151/4882812500000000
859936536104447/1220703125000000 -3465545321030907/4882812500000000
669924295791839/4882812500000000 -241831859708683/244140625000000
-5670500808181053/39062500000000000 -966218248777941/976562500000000
5555110924936821/19531250000000000 -4681148825169333/4882812500000000
-3023717595625593/4882812500000000 1916963080764757/2441406250000000
502866856169073/976562500000000 837137528350559/976562500000000
2427163764682329/2441406250000000 -8426429246069713/78125000000000000
5442715284538407/39062500000000000 4835183160603659/4882812500000000
-4860715447543031/4882812500000000 -7424124967444903/78125000000000000
2438329565780581/2441406250000000 -7841869146485329/156250000000000000
-8119805145740969/9765625000000000 -135637835880663/244140625000000
-2690033319495533/4882812500000000 -8149988625798221/9765625000000000
2407071127398357/2441406250000000 -652817774629121/3906250000000000
5920060830121391/9765625000000000 -242706724483801/305175781250000
422885920839619/488281250000000 4882051907023931/9765625000000000
-8138228588175119/9765625000000000 -5397839112759311/9765625000000000
-1208453042999641/1220703125000000 -1104020632844617/7812500000000000
-975931824031731/976562500000000 -5614589562712279/156250000000000000
1792691204269223/1953125000000000 -3876066020338027/9765625000000000
-1052436796904079/3906250000000000 1175563605314019/1220703125000000
-1799617751274833/4882812500000000 -226953926268377/244140625000000
