1000
-569220329126183/610351562500000 3524260939466863/9765625000000000
4564652954453591/9765625000000000 -8633155567115833/9765625000000000
-5134085481463893/9765625000000000 -1038392672517593/1220703125000000
-2704648854660161/312500000000000000 -76291087788117/76293945312500
308055368078451/976562500000000 926701789468597/976562500000000
-2457635435877001/4882812500000000 1054807031359229/1220703125000000
-318640461380703/390625000000000 225956073156029/390625000000000
-4871951562160617/4882812500000000 520789274524219/7812500000000000
-8217691950010037/156250000000000000 -4876054777619949/4882812500000000
4302742045472741/4882812500000000 4616608625507387/9765625000000000
-2387151487494949/39062500000000000 4873686383955409/4882812500000000
-8622380774600493/9765625000000000 916994687409361/1953125000000000
-2320224665574983/4882812500000000 1718530321474193/1953125000000000
-4580331091964103/4882812500000000 -84593513317263/244140625000000
4189248664430889/4882812500000000 1003358642776969/1953125000000000
-3032695445062987/4882812500000000 61229255747547/78125000000000
4425974845022091/4882812500000000 -4124368839659191/9765625000000000
-5743223117063971/9765625000000000 -1579655910231681/1953125000000000
-656754912743919/1220703125000000 -4115899131847607/4882812500000000
2163656153835541/2441406250000000 2261907624558223/4882812500000000
4629332508401629/4882812500000000 6211136368571709/19531250000000000
-3493157475026073/78125000000000000 -243896459922327/244140625000000
3055195197596623/19531250000000000 192908141058661/195312500000000
-1300074370889697/1953125000000000 7287839007176199/9765625000000000
5324214130559889/19531250000000000 -4697888291924671/4882812500000000
-6178489720655513/19531250000000000 -4632062117285441/4882812500000000
7593424286992403/9765625000000000 1535157549698461/2441406250000000
2359625847587619/2441406250000000 -5012817726974543/19531250000000000
-469946480269669/488281250000000 -265095339707903/976562500000000
6320651665228767/312500000000000000 1220453407973713/1220703125000000
-5044087588619619/78125000000000000 4872624744025261/4882812500000000
-2842959779058809/9765625000000000 4671322385986619/4882812500000000
3050564824590387/9765625000000000 289904156258603/305175781250000
605845007167613/610351562500000 -1184524979426003/9765625000000000
-6350475979636717/19531250000000000 -4617501904402403/4882812500000000
2438935362520827/2441406250000000 -439249814742637/9765625000000000
675592329666197/9765625000000000 4871114006177673/4882812500000000
-1159865460456987/1220703125000000 1217801751584531/3906250000000000
4390643213320143/19531250000000000 4757835502724859/4882812500000000
654546616691223/1220703125000000 -8243047381983297/9765625000000000
709871252834103/1220703125000000 3972301949821049/4882812500000000
6319974818104841/9765625000000000 465301271435817/610351562500000
-8545269257927461/9765625000000000 -1181783740531259/2441406250000000
-6960900064612343/9765625000000000 -3424664287601957/4882812500000000
-5773167659252141/9765625000000000 -3938209200220011/4882812500000000
4878639676069077/4882812500000000 -129167192352611/3125000000000000
2411414368411641/2441406250000000 -6104062308608839/39062500000000000
-3980890846315371/4882812500000000 -1130972394349481/1953125000000000
-88080309876267/305175781250000 -2337507958128381/2441406250000000
4807448586240827/4882812500000000 1367317725353819/7812500000000000
443304000731501/610351562500000 6712578621669843/9765625000000000
4882742760979901/4882812500000000 -3340383740196433/625000000000000000
-4126334896153887/4882812500000000 1305298647335059/2441406250000000
-294118528679367/976562500000000 -931218882698227/976562500000000
8130755420576671/19531250000000000 -2219799198594827/2441406250000000
-3113203149129609/4882812500000000 -7523250377969813/9765625000000000
4318674348349923/4882812500000000 -2278356816449219/4882812500000000
-1925026237944779/2441406250000000 -1501578656202609/2441406250000000
2382001805702277/2441406250000000 -8564587558286711/39062500000000000
-1437556015025001/7812500000000000 -2399718997092449/2441406250000000
8722694974722911/9765625000000000 2195565076385159/4882812500000000
-2947283445633637/9765625000000000 2327565143176971/2441406250000000
-8357970514010637/19531250000000000 17238860789313/19073486328125
5623282003182353/9765625000000000 -798411743108219/976562500000000
-8735377975048819/39062500000000000 190366231110131/195312500000000
102335924481299/3125000000000000 -2440096818667857/2441406250000000
-1486314304995159/1953125000000000 6335548619479921/9765625000000000
