1000
-3593933547576427/4882812500000000 -6610748691566173/9765625000000000
3416878183199117/4882812500000000 1395237693948047/1953125000000000
-2029554221224171/2441406250000000 -5427889668223129/9765625000000000
2691267774315629/9765625000000000 -4693732773804747/4882812500000000
7486109748942927/9765625000000000 6271012076802809/9765625000000000
942610903612781/976562500000000 -1021050445739457/3906250000000000
-4782929957098267/4882812500000000 -982567522182683/4882812500000000
47296516379877/61035156250000 -3086310249384469/4882812500000000
45116947300727/195312500000000 -1187688039758623/1220703125000000
-829864329563301/1220703125000000 -1790465094776459/2441406250000000
-2285281377481181/2441406250000000 -6872337608828149/19531250000000000
-819797219828149/4882812500000000 4813500849539583/4882812500000000
-32593043052467/122070312500000 4705546470016453/4882812500000000
4774540223539929/4882812500000000 -8180458917026241/39062500000000000
4742814712063417/4882812500000000 -2321694654506533/9765625000000000
-4881480859465711/4882812500000000 3648916211422793/156250000000000000
-2232361265506603/2441406250000000 1976894188169737/4882812500000000
-7364754179542107/9765625000000000 1603274530366331/2441406250000000
-4509528140066799/4882812500000000 4681088190863/12207031250000
-2429189824439603/2441406250000000 390286128895291/3906250000000000
-1139539370300799/1220703125000000 7002923145895669/19531250000000000
4759378488366681/4882812500000000 4363804422067959/19531250000000000
827855728005303/1220703125000000 897090303700567/1220703125000000
-4878802832693633/4882812500000000 633089328400003/15625000000000000
-4106943426622493/4882812500000000 -41265603111619/76293945312500
34501412780513/76293945312500 544377434212427/610351562500000
-8737217134268093/9765625000000000 -8724326538885863/19531250000000000
6681454788236173/9765625000000000 3561095110825493/4882812500000000
-5713194869918789/625000000000000000 -4882608492015553/4882812500000000
1598357334700281/3906250000000000 -8910682806717807/9765625000000000
-4831597794144061/4882812500000000 -5642811587304997/39062500000000000
4879306835355163/4882812500000000 -739975314319417/19531250000000000
-871571710414383/976562500000000 8809927809275097/19531250000000000
-5871571052763677/39062500000000000 193093472159363/195312500000000
941159501413793/976562500000000 -2605630620498437/9765625000000000
7905288167675279/19531250000000000 -8929951645285001/9765625000000000
8434376299139661/9765625000000000 -2461134295662071/4882812500000000
-4818001439634399/4882812500000000 396459341495793/2441406250000000
1205467431597311/1220703125000000 96130628239583/610351562500000
-3984408244851081/4882812500000000 88202253641173/152587890625000
2415467353154381/2441406250000000 2839514813591157/19531250000000000
-4609606912469763/4882812500000000 -257663695114933/781250000000000
-5462042682360549/156250000000000000 -4879828196992609/4882812500000000
-7635075687179503/78125000000000000 4859438803540551/4882812500000000
5203933549308049/19531250000000000 -4706304297010063/4882812500000000
439716766689653/488281250000000 -21229164890207/48828125000000
-8378506964393193/9765625000000000 2508388560821457/4882812500000000
2436130063450783/2441406250000000 256673072633819/3906250000000000
-295773505386829/305175781250000 -962155742576507/3906250000000000
-818447485975991/976562500000000 266372872636193/488281250000000
-997071760179093/3906250000000000 -2360534646102559/2441406250000000
-8578845420809459/9765625000000000 -4665923583437857/9765625000000000
136367479449309/488281250000000 -468852311128147/488281250000000
-2120285681387917/9765625000000000 -4766335601642167/4882812500000000
1378126745901421/3906250000000000 4568840754011617/4882812500000000
-2833036824781311/9765625000000000 467282928187137/488281250000000
-2065786869651637/2441406250000000 2602298281684061/4882812500000000
4462064324642657/4882812500000000 -158630940193293/390625000000000
-240374987990977/244140625000000 3417142594604589/19531250000000000
2299315916407551/2441406250000000 -51296122313773/152587890625000
-304431583039733/488281250000000 1908795368481681/2441406250000000
