500
1218118061889051/1220703125000000 -5081659116805961/78125000000000000
-2025046260913467/4882812500000000 8886179280504447/9765625000000000
-5452739702368409/9765625000000000 162030937019867/195312500000000
-86665981302183/152587890625000 1004695282769987/1220703125000000
8839293118867673/19531250000000000 2177070220650761/2441406250000000
-970414282232617/976562500000000 -1750551894338589/15625000000000000
-432889902276233/1220703125000000 -2282737349667753/2441406250000000
-1659590164773559/2441406250000000 -3581186933141543/4882812500000000
-2796341954422211/9765625000000000 -4678351828223353/4882812500000000
-2436401660701439/2441406250000000 -2499864970194433/39062500000000000
1718640140256461/2441406250000000 6935982175107793/9765625000000000
-6759426717772929/9765625000000000 3524116275312241/4882812500000000
4872762296111361/4882812500000000 5009955292461057/78125000000000000
76292693417303/76293945312500 179020261712751/31250000000000000
-4648596237145131/4882812500000000 -5976501898811887/19531250000000000
400697126790983/488281250000000 -2790347499560107/4882812500000000
2056831502410137/2441406250000000 2630519833213443/4882812500000000
955171813241773/976562500000000 -8131039155697007/39062500000000000
-959186248988913/2441406250000000 8980357424770701/9765625000000000
-240616627278967/244140625000000 -3306510864132441/19531250000000000
4856273384723687/9765625000000000 1694509255843111/1953125000000000
4143694842563967/4882812500000000 516590784349277/976562500000000
983042216977143/19531250000000000 4876623797273457/4882812500000000
-1196187837558559/1220703125000000 -194731859395211/976562500000000
-822481898527351/1220703125000000 3608079036783113/4882812500000000
-5681079371458151/9765625000000000 7943095669562193/9765625000000000
4202939648401817/19531250000000000 4768418401802583/4882812500000000
1601957609393347/3906250000000000 4453320544865713/4882812500000000
4814394962549221/9765625000000000 -8496412936363539/9765625000000000
8406922702858051/9765625000000000 310563262909073/610351562500000
-1655639170668727/2441406250000000 7176989245176763/9765625000000000
-4866602321405643/4882812500000000 6360674287686481/78125000000000000
-1666060665528149/9765625000000000 -962245672889231/976562500000000
96680726164641/97656250000000 688440905852131/4882812500000000
-3124267329237473/9765625000000000 2313092968517537/2441406250000000
6576631233655869/39062500000000000 300819480917167/305175781250000
8267490469691241/9765625000000000 1039538993481043/1953125000000000
-3832786707451231/39062500000000000 4859251248111021/4882812500000000
-8192342759054859/9765625000000000 664418822152893/1220703125000000
488083725663619/488281250000000 -1777568605198777/62500000000000000
6441155846438697/19531250000000000 1152411259335027/1220703125000000
-704783877840331/976562500000000 -3379918645258327/4882812500000000
-3379687509768497/156250000000000000 2440835068801233/2441406250000000
-1983270384790183/2441406250000000 711881847351311/1220703125000000
-891213472613631/976562500000000 1597061615032821/3906250000000000
2679230222436921/4882812500000000 1020526314130877/1220703125000000
-4638360130978553/4882812500000000 152560584867287/488281250000000
4431358375834677/19531250000000000 -2377737861088441/2441406250000000
1555719661905553/1953125000000000 -5904306900867941/9765625000000000
-7878048479468651/9765625000000000 -180341970608767/305175781250000
-3546932700067751/4882812500000000 419470021488171/610351562500000
-7224789526151/7629394531250 -6275957460392261/19531250000000000
6233750632987469/9765625000000000 -1879291500246059/2441406250000000
-280331036410047/4882812500000000 4874758703790529/4882812500000000
-4344901357266367/9765625000000000 -1093226759387733/1220703125000000
-5096090930464727/19531250000000000 4713674149422449/4882812500000000
1528092053200541/1953125000000000 1520501532477419/2441406250000000
4703983733893341/4882812500000000 2618698105107277/9765625000000000
-6563830291839299/9765625000000000 -7230737413331909/9765625000000000
-4580506649389847/19531250000000000 2373317448074383/2441406250000000
4711733631220151/4882812500000000 320295185979397/1220703125000000
-8841220010233251/9765625000000000 829463932218301/1953125000000000
2180225806197783/2441406250000000 8789375082325849/19531250000000000
-6074891076128931/9765625000000000 -7646118626714739/9765625000000000
-52582481542129/390625000000000 1209592895664047/1220703125000000
8794036578681621/9765625000000000 -530806466223723/1220703125000000
-75281043622753/152587890625000 1698875332849639/1953125000000000
7901235859819673/39062500000000000 -4781882112034803/4882812500000000
-1526901638395117/1953125000000000 1522368966185651/2441406250000000
-3055632789365747/9765625000000000 -927526495024147/976562500000000
-4880990283940933/4882812500000000 -853668798258229/31250000000000000
-3668782113566077/9765625000000000 -4525137275370843/4882812500000000
231731109790991/244140625000000 6147695519032183/19531250000000000
-7428521848966847/9765625000000000 792390516688733/1220703125000000
115607616459999/122070312500000 -3135387909944589/9765625000000000
-4604679306973309/9765625000000000 -8611873206251751/9765625000000000
-61196290178933/78125000000000 758823374318469/1220703125000000
-8106952732160161/39062500000000000 -119412470544611/122070312500000
257928942584269/305175781250000 -208780980251909/390625000000000
-3985655330592749/19531250000000000 -956012915901529/976562500000000
-482099258411179/488281250000000 -6196197100004493/39062500000000000
306776431002661/488281250000000 -7597546985253387/9765625000000000
4565605496159601/4882812500000000 -3462429415074623/9765625000000000
7551822943275577/9765625000000000 -6191720429254021/9765625000000000
-2403253720787589/2441406250000000 1719702444306791/9765625000000000
-4882794476093977/4882812500000000 6792725098130817/2500000000000000000
-6811488129044597/19531250000000000 -57203153256479/61035156250000
2360277955943453/9765625000000000 947610255386213/976562500000000
-5645160695496343/9765625000000000 796866314777129/976562500000000
-3464585606935193/4882812500000000 860178196740861/1220703125000000
-610288740806591/610351562500000 -4483515063263057/312500000000000000
-54711671435979/781250000000000 -48708243154581/48828125000000
-10953393926869/31250000000000 2286522243279389/2441406250000000
276195937713429/390625000000000 -6905780849024227/9765625000000000
-8108462731796521/9765625000000000 170076567567777/305175781250000
-3639159145613763/4882812500000000 3255515108711977/4882812500000000
-1037887504012549/1953125000000000 8272676100633339/9765625000000000
1473006546721707/19531250000000000 24344531543161/24414062500000
-967426297862003/976562500000000 1066153448205853/7812500000000000
-4657488943026579/4882812500000000 -5864680254870043/19531250000000000
485834134774079/488281250000000 -7811822981932267/78125000000000000
2037663160172461/2441406250000000 -672382577706889/1220703125000000
-424158307795001/610351562500000 -175553415130403/244140625000000
-8988281844942721/9765625000000000 7636287348312153/19531250000000000
6612377795979201/9765625000000000 3593184225859643/4882812500000000
-247541862796507/781250000000000 4631222961557523/4882812500000000
-1994230576196557/4882812500000000 1782802392599651/1953125000000000
-3510138074398861/4882812500000000 -6788457441514001/9765625000000000
4803139999360077/19531250000000000 4732861005175987/4882812500000000
-943383438902953/976562500000000 -5047851170939509/19531250000000000
3995457326990443/4882812500000000 -5613618675455123/9765625000000000
7063944642073123/9765625000000000 -6743005096716999/9765625000000000
485060959285153/488281250000000 -1791555624596649/15625000000000000
142882186812469/244140625000000 3959258792606381/4882812500000000
340084662696773/610351562500000 4054598985208681/4882812500000000
-3817095014317283/4882812500000000 608987473166087/976562500000000
3388422976731161/4882812500000000 -7031485658356017/9765625000000000
7139071414527297/19531250000000000 -2272469010723727/2441406250000000
5403013316623953/156250000000000000 -4879892371529849/4882812500000000
8631334697307727/9765625000000000 4568095115436711/9765625000000000
-466615960777187/488281250000000 -2876673373850097/9765625000000000
7289076379767447/9765625000000000 1299796863675879/1953125000000000
-8366542739468589/9765625000000000 -1259176174857753/2441406250000000
-3725793283579783/4882812500000000 98624932262869/152587890625000
-2076296647124531/19531250000000000 2427571828222981/2441406250000000
2427617091644011/2441406250000000 4145813777488737/39062500000000000
-2854357460139797/4882812500000000 -1980814314865261/2441406250000000
94078108507611/97656250000000 5238521408537617/19531250000000000
-3675809015538699/4882812500000000 -6428152453525249/9765625000000000
8829376171804233/9765625000000000 -1043118762935237/2441406250000000
303507507907469/305175781250000 -8157728734391881/78125000000000000
-1669735008988789/1953125000000000 -2533133269024511/4882812500000000
-4836697980734429/4882812500000000 5355882318741523/39062500000000000
7524165874623171/9765625000000000 778162494395663/1220703125000000
4652717790434541/4882812500000000 -296248211655711/976562500000000
4742160794223387/4882812500000000 -4654063019576533/19531250000000000
1710217965250781/2441406250000000 -1393842226680777/1953125000000000
-5760784270842891/9765625000000000 -7885480088455879/9765625000000000
3710665668761887/4882812500000000 -6347540690638587/9765625000000000
-251198205886431/1953125000000000 968451951180909/976562500000000
-2400546580735123/2441406250000000 -55599093863453/305175781250000
1180736874309481/1220703125000000 495681324802987/1953125000000000
8083896603874047/9765625000000000 -5478872816419327/9765625000000000
4373864280553317/4882812500000000 4341045572419653/9765625000000000
-194218768628107/195312500000000 2064079864811041/19531250000000000
-2377184439104737/2441406250000000 -1112580100518359/4882812500000000
-1107777635601103/1220703125000000 -4102251709073313/9765625000000000
957599243114253/976562500000000 -383030056226713/1953125000000000
1985600888379623/4882812500000000 557607150888709/610351562500000
974613707789139/976562500000000 4933112280583379/78125000000000000
2970967532123709/9765625000000000 930272989845947/976562500000000
-135071412261141/488281250000000 58653416978913/61035156250000
6934269839307247/9765625000000000 -1375257553133941/1953125000000000
-2151708885387891/2441406250000000 -288380537450287/610351562500000
3507310332170783/4882812500000000 -3397150591893789/4882812500000000
3018381449431237/625000000000000000 4882755558251893/4882812500000000
4980077577460991/9765625000000000 -8400372549065623/9765625000000000
-611758482772981/1220703125000000 -2112692763408883/2441406250000000
119380509430459/122070312500000 1019376407003217/4882812500000000
7392005509529911/19531250000000000 -4519596090288237/4882812500000000
8706127721745123/19531250000000000 4370877104878101/4882812500000000
-7401298582892119/9765625000000000 3185443883021019/4882812500000000
-12206426535809/12207031250000 6220992655331347/625000000000000000
6750517109336313/19531250000000000 1145473846614391/1220703125000000
2316221832302489/4882812500000000 -4298485120797971/4882812500000000
-366466809861507/1953125000000000 2398045865548307/2441406250000000
-8680483426031269/19531250000000000 -2187031857238597/2441406250000000
4878095761481971/4882812500000000 6866192803519439/156250000000000000
1077075463585727/1220703125000000 4595821163631897/9765625000000000
7580291144861051/9765625000000000 6156835047308489/9765625000000000
-2439154203603367/2441406250000000 335485298471959/7812500000000000
