5000
4811989021624100653/7090751296636595038 1716381773818246400/1940282406695616431
3610528300267047360/6681344667491262174 2476277382343721591/7842577933775707836
127196483031288046/1438910512580307881 2473035853712432713/3427482017534302515
3702025557145719884/4978896117583251787 1591001309489121675/7745208241640660002
5198855074602339826/7053437824085022625 1466170621522611919/6879784069591403077
901512412501407730/5957294835565402844 3248206424946685946/7967175695468456450
6251299712544231548/8588798772662200155 2771139482630988532/4953359986276186084
2049626385260776222/7364116721963925131 5050082744049565403/8511283146705223717
4005430263911983591/4980254795571986200 3005871495996441904/6089952943062358497
5251952908627459917/8285616359811564855 3146072951718317098/7810404136720940335
875403914026239664/5082626608074285804 745716825055563405/7729802288921611841
2755438919679573322/2856863362182500241 4522215122287419233/7914140210126676100
2511269859463055337/7271402706324746327 5302002480202405896/7899671930933477175
1457823370392138080/2815442276318809524 3736023014183341566/4515089020449701523
4107091835035211899/7879781592974608658 588682232784221784/3181702215541088889
2637615675128971288/8068387502337335231 2748877609553445545/6195551398560788302
3424497187268395960/4617554241097257295 1967718217757706031/7538751235122492454
3395038294019280671/7029414889287453101 248833389799925273/6676754470552421585
1376768630874423389/1723003206691453279 1150664329339901458/3165026650836366775
5354392086978585667/5376273004102428414 3176182618534073504/3539419111966124445
6645026097544395605/7831587644625305420 1657069682688404281/2365794181841895353
2951729786770490097/8030205804389181770 126118260215772839/726294049860253677
210083198772917274/6808453875947544758 3817935908901008643/4617726553951767489
2439754278692510665/8547355898153173084 636683667500000095/2643135779970247792
3808866494966609240/6732240887001667449 365838776539647261/2117365134579543595
4450409850277728737/8143742343661466287 3980987434644736103/5209236489400011823
480954850604564920/3558193021678570876 3802228177898225354/4710022714159280670
389579768689879118/6512452974003586536 850240575225765955/2609939041969596936
4301277870359944225/7794967963245126282 2606020463183692052/8508017994024420805
9008929118779504992/9168675475631194196 5140396220706653126/9007131739810336419
4418680262069292909/9210467514005038900 7219815749819993808/7680663797698848574
2633970672186105641/3570370591586928317 4924719591223847184/9202900410844424079
120151523609354872/1538967055207925563 904683796570073391/1938771947397824977
272250867873913940/1578067534175425368 3257892055852557554/5597569713996682131
146493598622344803/9081081979183891925 1163617556300119679/7273501328708616065
2119901444567980357/8897095594206264825 1811952341462798371/7305940921069903062
1129096061970750229/7240469760096582400 273200478395315600/7391198541542535313
5020229427374376123/8742488610542802062 5865346140148587505/9090975332029238318
909201620328795279/6870492621406800811 2125412698443027319/8642857998246973031
677564032433153926/6334142335366308546 2068416244824610502/9148751347880656376
5755303747531426630/6510381701435257073 3117719008362126735/7986726151013975818
5401005863595321730/8014782917335541915 2401711698595937509/7655183229385349983
7791526964721310905/8871668558644986572 5611241002651870398/8622379048677353264
1061022586089986572/4821680768044878626 63672505773880593/7628206451684088807
2070609039501064845/8525301529301512860 1701893120605013996/4440762523499199029
742474428697800056/3883129290656846750 625251376734141852/3500578056370284041
2510674673002449166/7559293325304812731 6624565812578608498/9191743553858962345
4549560456561417515/5528850132944248191 1315043228250359245/3727242112255833316
2826722287089760171/5872980009812247454 2098236733912076014/6968741059529555576
3165027452489506239/4605196786630671794 5120259795165901427/5977337214104604391
7701340306248592242/9062108083234655716 1253563844231272819/1366416846483106370
5946273157552540512/7766908367278277808 8373207797395183676/8633964201681467312
3092173140914804161/4364313314774365358 7168361848851275168/8024614336290703128
961234944188656976/6490613400417249945 4119182373947223860/5723674089177448613
4394881500144639800/9201488280893412451 3545378363869462685/4799811134195584297
650200118352171118/2141157061867597941 592406697115046494/1362045677967933515
467112560761460941/5016950254343116301 3469218115773347486/5331958527251836020
1509700254966010602/6517477031522335194 670062800087446571/5969749981341074071
1496326255608661140/6128695897119310821 3097117812694929713/8622718865809093410
5044429683081990774/6826792266154029609 1388561579855145019/3170939030496362906
1890557903520787140/7329131996978369061 1694944948522420925/7417547497270563568
271905500297604016/8454373300481391499 750841458748348559/3931999555777133692
564458035562813966/8790133044661151351 2548771311270113492/6795615119696346261
2204310984291455665/5007244443950034937 2872038038356644846/3435139385405394763
5710835153599788424/6156010423291562719 2329119226641070597/5941609596200449606
4848234133319833899/7631308425403400553 4949155822244526398/8685594725924520224
1370897691987748869/3759026539428197239 2559173356919935561/7146921871345551903
3923356458165512442/7179450212057080315 564945067578106501/5822317766260076437
1341254866694141108/5394946898028916557 535738717809753793/3760441925948090491
3267976271158028850/8210307047309337069 3997223313795610563/4878377431430681970
359606249034035293/6350158583566732007 3745038005414381411/6142978259296491829
1643595740945665654/5204479068197587180 1380720904279085442/6656616903937556206
4841677495836427773/6211872675770017404 669476308305688262/4101064417161446481
5084439440922824071/5430377116977581001 8664755513784256505/8956534272540671033
5718437967100283674/6585442685149906279 634034780647529123/3876843682820706087
2713743083023578786/3975494197716262382 182467116497701643/548511334353326126
692312556463788380/2009342541428929881 87500859946291439/7525779480682680059
1553445352871726080/5536626322742221459 1729009682174501119/9017245659522979459
6937529838397273154/8781187329748936495 6727095904800868832/7397338805969111792
2867790143070191048/7309823413241357411 1453127862253489197/3657283034138904492
1148341612654269738/7200928685534304675 3791219399572733889/8793059341977270328
4900331479809000349/6891277892632108727 1460790963614277774/6841085596783627247
599991019220948633/7328814453349856900 4238088333379608964/7102684162802693084
2432337210996026724/7904021346441104792 7890664313863680904/8153416202480866761
6596386157965352910/6731552742585151433 82285046640847285/5463637441600526234
4137507202988342359/8666279789763365443 2682242833584238115/5954073970806941982
1069942828139754657/4636758807571779803 3074304625521145434/3194149282660744602
3861446567631570336/8469230881297277417 2449098875361912919/8694078610475376030
6932195159571374110/6952265764944061678 7549805434938018050/7844803411440252081
715696984895592685/6219922734146040652 1092077836153023334/7288229353893956704
5726406309767261169/7114083472775161831 2030127354413689580/8209074167689864232
3557035032963882243/6960839153327821884 1529111558437391157/8633835950064380215
971909791780871245/4745309166964558787 1436002541248561631/3335072260350884656
6232115468850193950/8220317503339493369 3414060651673862944/5898078716159564966
2630149489911379703/3702657397559321935 4739731353774135707/6234933963369544883
6918744488409107055/8764537450277715522 1038054539928578335/7582492111497897418
3430452256599493063/4623546585115548245 1855423013572934239/2633894438069207643
617774855619915585/5334316406693098720 2865344451998931016/3710912338836867956
2099635148288103669/8825468575682137211 8769934065154981684/9182259971370206086
2691129034474789771/3904722456596051164 484262024154424763/6986599063281486798
1116065658293861121/1538210742019827005 1865340098563241770/2438256334240780958
789302998949886768/3819828433773337349 3302808280872942322/6210027744791044081
983512977428915863/5826942440798241758 701040092843129817/6890089681992456924
2435742358609373099/6682518572695480777 4371100759762592771/5064147325559413363
189508716137411564/704903049158565697 2223103343026805369/6999227452915043589
4669567551207699292/7336092127766260829 576327466837184269/8916919039886963602
3991389046347947736/9155579286546777356 492160419018769609/8368245807502758030
1579228297814647937/2321358414858667212 636729353846447420/9143488179210886982
386700607620466233/4694983704917806814 4312729991907270263/8319282651912279689
4989892259752926768/6577596097234933311 979866712791111557/2247025687939552783
5225962123246032659/5556382781337766933 5457596508862627499/7983976717809757087
3281753956995688355/4240104123692778867 4171598534657894240/7533463156603778514
6681153640085728877/6953136264828525781 4608165872271835361/8024118996634229477
5491074546189962142/7331396421048814901 2296469429288776923/6493802141089433508
3033009880752294556/5717054344182090519 4569332946687703028/5776488588478613167
6258079898630939137/8819242584224798165 4641917612489456471/6327116503813291241
6671389859987534586/6887053063077380123 7018622302246836282/7464111118285920302
2977016163351274985/8832277078413387166 1224558268035822319/4400081138937807247
1984689536078734552/2885186688793192559 1201579422596605306/3483432602029910870
