100
-276882156378671/12500000000000000 -2440807241136311/2441406250000000
4754161500613533/4882812500000000 -4453863646301411/19531250000000000
5083706140024139/9765625000000000 -8338067133485187/9765625000000000
4275741254183227/9765625000000000 -8779833048976537/9765625000000000
-7334600727367603/39062500000000000 -4795965978070949/4882812500000000
1134847856155263/4882812500000000 1187275722334961/1220703125000000
4619361989726373/9765625000000000 8604006418436483/9765625000000000
-4851451441190247/19531250000000000 945956058012571/976562500000000
-3094823945804239/4882812500000000 7553521736152727/9765625000000000
-302677344095811/1953125000000000 1205955872656771/1220703125000000
-5927930861523179/9765625000000000 3880304992575521/4882812500000000
-4632280377841189/9765625000000000 -171941164520533/195312500000000
-2407318671639439/2441406250000000 6504768283581541/39062500000000000
51953648924573/97656250000000 -1653790981652121/1953125000000000
-971293898804227/976562500000000 -8104311366944013/78125000000000000
-8763519863357861/19531250000000000 8727405773868777/9765625000000000
1093752587602337/1220703125000000 -216821178485113/488281250000000
4571364323160597/9765625000000000 862960369110653/976562500000000
-4518693120398607/4882812500000000 -462552050707441/1220703125000000
2830486949837439/4882812500000000 7957437159527231/9765625000000000
7749452775517037/19531250000000000 4482017599826913/4882812500000000
4459312221891551/4882812500000000 -3978136457108977/9765625000000000
7220741756359531/19531250000000000 -2268433569704771/2441406250000000
8146708342384131/9765625000000000 5385032481309077/9765625000000000
-1993457354158203/2441406250000000 5637860948539457/9765625000000000
303672415642487/305175781250000 -1549019119995771/15625000000000000
4737289455830819/4882812500000000 189310937240451/781250000000000
-1618828097682499/1953125000000000 -5463727792859609/9765625000000000
8215639340349121/9765625000000000 -1055854192015789/1953125000000000
4566610810977837/9765625000000000 -1726424019083207/1953125000000000
-2385040101243069/2441406250000000 -8345318292814691/39062500000000000
4629846602123121/9765625000000000 8598369152428499/9765625000000000
-595604724670009/610351562500000 8534836565530963/39062500000000000
2430082759280563/2441406250000000 -7515727166449089/78125000000000000
7284441047431339/9765625000000000 6504179446104051/9765625000000000
-4453900157129737/9765625000000000 -8690811528904807/9765625000000000
-5171698750734151/156250000000000000 -2440068560129557/2441406250000000
8944618700748803/9765625000000000 7838680485602097/19531250000000000
6450475181494689/9765625000000000 114563115422969/152587890625000
-4664537952099173/4882812500000000 -1443587061310369/4882812500000000
-6974002461877339/78125000000000000 4863318903834847/4882812500000000
18842159362891/19073486328125 6065300334722467/39062500000000000
1306188327927029/1953125000000000 1452091359939929/1953125000000000
3391972083335711/4882812500000000 -87807969797833/122070312500000
-4612942834676751/9765625000000000 4303724841478293/4882812500000000
4831135633438543/4882812500000000 566807989485887/3906250000000000
-7275036298165323/9765625000000000 1628674278765593/2441406250000000
-1310645924239917/3906250000000000 -4599761597723927/4882812500000000
2305779667921973/2441406250000000 3209597110010413/9765625000000000
-5196230441540603/9765625000000000 -8268411022622893/9765625000000000
467988090959861/610351562500000 6268982469338997/9765625000000000
-314822248624591/488281250000000 -3732365615431033/4882812500000000
4769803258784877/4882812500000000 -8355442902028039/39062500000000000
-2316584448677537/9765625000000000 4743439367504617/4882812500000000
1720185186488437/1953125000000000 -462509510661873/976562500000000
-1783442231705377/2441406250000000 -3334545416520103/4882812500000000
-5258028169708223/78125000000000000 1217935301092831/1220703125000000
-4046064981076117/4882812500000000 -5466705069442021/9765625000000000
-115107444287883/610351562500000 -4795192967066603/4882812500000000
2441112271651373/2441406250000000 -1212354422479411/78125000000000000
-874552831912167/1953125000000000 8731916470368073/9765625000000000
7287720140948997/19531250000000000 -2265084372427253/2441406250000000
-4877540055919279/4882812500000000 7259199334129817/156250000000000000
6739110964033207/9765625000000000 441728737528901/610351562500000
-5520299847922239/9765625000000000 8055663922337793/9765625000000000
-974314910125333/9765625000000000 2429224954802103/2441406250000000
-5307539401802699/19531250000000000 -587383425985009/610351562500000
-6314308017754079/19531250000000000 -14439377769937/15258789062500
1626659059016731/3906250000000000 -4439307619194899/4882812500000000
453087400087309/488281250000000 182017545812719/488281250000000
-6507752443990703/9765625000000000 7281249190101793/9765625000000000
-6851987714167697/19531250000000000 4572471917132153/4882812500000000
-2218082479693981/2441406250000000 816068464113609/1953125000000000
-470602464036209/2441406250000000 -4791241091150439/4882812500000000
-8311414691196039/19531250000000000 -4418640291378323/4882812500000000
-17765925298342/19073486328125 1421403168530983/3906250000000000
-1656344090009297/2441406250000000 7174386365988759/9765625000000000
-144321013842147/152587890625000 6341504620018011/19531250000000000
477798296311583/610351562500000 607658468050209/976562500000000
6746219559090179/9765625000000000 -1412174965097089/1953125000000000
8136160292908947/19531250000000000 887795897504871/976562500000000
-1526449253390583/2441406250000000 -7621461439238429/9765625000000000
840011270718699/2441406250000000 -4584689975387483/4882812500000000
-5984012437427979/39062500000000000 -4825178917341283/4882812500000000
-2315476498185247/2441406250000000 619177810398711/1953125000000000
-673147404774047/1953125000000000 4583646090362293/4882812500000000
2320667066717883/4882812500000000 8592173712305231/9765625000000000
3217217448879453/4882812500000000 -91826500112923/122070312500000
-9661553648981/39062500000000 -2365551342428129/2441406250000000
1354321260928169/2441406250000000 8125297188152071/9765625000000000
-6790451077105193/19531250000000000 -4578205848992191/4882812500000000
-8766815616737397/9765625000000000 -8604737202902667/19531250000000000
-8658690970014061/9765625000000000 -564503409068841/1220703125000000
-4764428423207371/4882812500000000 -4274725180013291/19531250000000000
-4629605318204469/9765625000000000 -8598499068923477/9765625000000000
-2292505450380711/4882812500000000 -269448776658383/305175781250000
4699480961461061/4882812500000000 -1060335525168147/3906250000000000
1205746487237949/1220703125000000 6096107329080329/39062500000000000
-4791214175845499/9765625000000000 -8509506352415641/9765625000000000
96928917021887/97656250000000 4758625163244447/39062500000000000
