100
4878940470293047/4882812500000000 -6221329812245743/156250000000000000
-786962136641419/976562500000000 -2891214761562269/4882812500000000
1161409843893443/9765625000000000 1212039595676001/1220703125000000
460025870566529/488281250000000 -6547644157841151/19531250000000000
-58862613773813/122070312500000 4277635588698519/4882812500000000
2222861466568811/2441406250000000 1615406923234979/3906250000000000
4772001715689927/4882812500000000 -1654942685158049/7812500000000000
238601765903683/244140625000000 4136736555719011/19531250000000000
-168295547664727/195312500000000 -309731191615199/610351562500000
-5216516385902877/78125000000000000 4871915523322329/4882812500000000
4816026908539971/4882812500000000 6438597245364211/39062500000000000
-1159947042781601/1220703125000000 -243401160870553/781250000000000
169379208154203/305175781250000 8123396573968397/9765625000000000
3709648678021297/39062500000000000 -4860744241072513/4882812500000000
954762220648741/976562500000000 8207647012695897/39062500000000000
7360430008151021/9765625000000000 -401128786869273/610351562500000
487521253775863/488281250000000 4357191663256461/78125000000000000
-4703609306248949/9765625000000000 213956028097471/244140625000000
6818945490676209/39062500000000000 4807840095623089/4882812500000000
-796299139877241/976562500000000 5653158375961319/9765625000000000
289450985331991/390625000000000 -6557725297089473/9765625000000000
-5898157505263711/9765625000000000 3891631074617889/4882812500000000
-4668615259018461/4882812500000000 -5721383711538651/19531250000000000
2388144601032823/2441406250000000 1622970604500173/7812500000000000
-710340715953267/976562500000000 6701420623011587/9765625000000000
-52268047042357/61035156250000 -126069286146301/244140625000000
-477098066322741/488281250000000 -207807740112479/976562500000000
-8918711326074271/9765625000000000 -994485417275547/2441406250000000
-1836887743891199/2441406250000000 1608200203296021/2441406250000000
4594472294099881/19531250000000000 -1186447808358211/1220703125000000
-6722765755563183/19531250000000000 458444480797789/488281250000000
6452172480264049/39062500000000000 24078715125271/24414062500000
1869337302665931/2441406250000000 1256291055805327/1953125000000000
7777209133795463/9765625000000000 5906136616252067/9765625000000000
1141261984710511/1220703125000000 693073759564479/1953125000000000
-4633252745837433/4882812500000000 1541047339748569/4882812500000000
-2327861224182649/4882812500000000 8584385832685553/9765625000000000
7575845238869367/9765625000000000 6162304808862131/9765625000000000
-5993936549194567/9765625000000000 -7709744242506007/9765625000000000
4858523966100207/4882812500000000 -3891346551402829/39062500000000000
-7617606237226451/19531250000000000 8992243904847509/9765625000000000
6743776538434363/19531250000000000 45825157157543/48828125000000
-4876612964965393/4882812500000000 787121297449131/15625000000000000
15848848415899/24414062500000 -7428167490236197/9765625000000000
-7127493752369141/39062500000000000 -2400421300147723/2441406250000000
-1477276688828433/1953125000000000 -6388174328924307/9765625000000000
-6884195640599871/19531250000000000 -4569447292510097/4882812500000000
4644776867657879/19531250000000000 948545958839331/976562500000000
6962019432178923/19531250000000000 -456207197984413/488281250000000
-1600195965673761/1953125000000000 -5599263650397299/9765625000000000
8051388163054271/39062500000000000 -2388983549952709/2441406250000000
-553124379887369/4882812500000000 2425691207188709/2441406250000000
-2436214030184797/2441406250000000 2546246890517809/39062500000000000
7356914183899901/156250000000000000 4877397078305559/4882812500000000
-4861115232099857/4882812500000000 3678404962180259/39062500000000000
8539634000101483/9765625000000000 -4737307545952211/9765625000000000
4355558013695733/4882812500000000 551756983388471/1220703125000000
7126859225814851/9765625000000000 6676474310296021/9765625000000000
8395922607437183/19531250000000000 -4408643570677559/4882812500000000
1301674191225897/2441406250000000 -2065456070081247/2441406250000000
2393226214211147/2441406250000000 965262171954631/4882812500000000
7914401347811973/9765625000000000 5720986186522131/9765625000000000
-840517607224613/976562500000000 497196609352539/976562500000000
-88819932687483/152587890625000 -7940665447410467/9765625000000000
-6141971562320723/9765625000000000 3796169680357707/4882812500000000
566816381715771/1220703125000000 4324507479569727/4882812500000000
-7212759359668887/19531250000000000 -2268830332537867/2441406250000000
-4882058226315139/4882812500000000 -2746298284150613/156250000000000000
4330786401528651/4882812500000000 4510497557693947/9765625000000000
-8015611029146579/19531250000000000 -8905331358123679/9765625000000000
-687726526355661/1220703125000000 8068301806279849/9765625000000000
6113950014403441/9765625000000000 -1903730660801331/2441406250000000
3763499512081401/4882812500000000 1555468525293851/2441406250000000
4875562727498533/4882812500000000 2127849624511041/39062500000000000
4105185923628583/9765625000000000 8860862270291009/9765625000000000
3025262997984909/4882812500000000 766541367525057/976562500000000
-2425559673073137/2441406250000000 8886829800216121/78125000000000000
-2384104573609829/2441406250000000 -4206736385421889/19531250000000000
-54038003898813/97656250000000 1016783938661993/1220703125000000
1212790693277269/1220703125000000 -4440379507794609/39062500000000000
-1371315299270277/3906250000000000 -9144083952373/9765625000000
-5458070641218591/78125000000000000 -2435440854975031/2441406250000000
4360471451768281/19531250000000000 4759569408575829/4882812500000000
-686508001862733/19531250000000000 2439897645541069/2441406250000000
1173272081210687/1220703125000000 -5391519096330369/19531250000000000
-4866655494624369/4882812500000000 3175125388880857/39062500000000000
-4989654991641483/9765625000000000 -8394687290483919/9765625000000000
2758714642429599/4882812500000000 8057630279877771/9765625000000000
-3760946878888617/9765625000000000 4506182148304787/4882812500000000
11747589854876/19073486328125 -7693505152876849/9765625000000000
350822755629597/390625000000000 -8589424421557023/19531250000000000
5944355616940609/19531250000000000 116279291145461/122070312500000
-1193457443353017/1220703125000000 8206951997971397/39062500000000000
-112923777281453/195312500000000 1991983668228843/2441406250000000
986019174135643/1953125000000000 -4214901729179063/4882812500000000
8706021294325577/9765625000000000 2212047968703131/4882812500000000
-7140974796673703/19531250000000000 -1136187782805281/1220703125000000
486921719521299/488281250000000 5825885760602251/78125000000000000
4877436766228957/19531250000000000 472810967217567/488281250000000
3986087127223419/4882812500000000 -5640201175256073/9765625000000000
