1000
3751536638080759/4882812500000000 6250705804401281/9765625000000000
-5958657137815209/78125000000000000 4868589547305531/4882812500000000
940316365315127/2441406250000000 1126528917811213/1220703125000000
7930012696566873/9765625000000000 -5699327177212517/9765625000000000
-5836515349888507/9765625000000000 3914796297738263/4882812500000000
-7131357969463689/19531250000000000 -1136423701096357/1220703125000000
-609061994933611/610351562500000 -1015167079639507/15625000000000000
-8867458290505273/19531250000000000 4350559662479137/4882812500000000
398699885410111/488281250000000 704702865023297/1220703125000000
-398281970156457/976562500000000 -1114566752048849/1220703125000000
4772080544525121/4882812500000000 8271803427919997/39062500000000000
6997021913534031/9765625000000000 -6812423649638179/9765625000000000
-8146170899812079/19531250000000000 -8875663724949741/9765625000000000
485177918087827/610351562500000 -5925001512017969/9765625000000000
18848815263389/19073486328125 -5977930587457913/39062500000000000
5955567868425151/9765625000000000 -1547884272227183/1953125000000000
4594611763899847/4882812500000000 3305389931121219/9765625000000000
-6869226312893659/312500000000000000 4881632700713297/4882812500000000
-185192900959517/390625000000000 4299191058705087/4882812500000000
-474960049221137/62500000000000000 2441335753029569/2441406250000000
-8070943390861561/9765625000000000 -2748968189254519/4882812500000000
1384754131271851/3906250000000000 -456570864201713/488281250000000
-7951119450326487/9765625000000000 -5669844012604299/9765625000000000
4838009163313139/19531250000000000 2365320386260463/2441406250000000
-7879842088385887/9765625000000000 576849376377641/976562500000000
4632257812791349/4882812500000000 6176141793695813/19531250000000000
4851961805765451/4882812500000000 -4384149964949789/39062500000000000
2428202860983691/2441406250000000 -8114088469598573/78125000000000000
-287949039086329/305175781250000 3234629955841473/9765625000000000
6062323190031869/9765625000000000 -7656087067179083/9765625000000000
-5519245526723449/156250000000000000 609970667760003/610351562500000
1489099035196643/4882812500000000 -4650208809670021/4882812500000000
-7463587014450861/9765625000000000 1574450311186921/2441406250000000
-2718292164545331/9765625000000000 -4689837932935329/4882812500000000
1394799255087619/1953125000000000 341799676677731/488281250000000
4337784273200053/4882812500000000 4483518934646999/9765625000000000
776833544715443/1220703125000000 -1883237386193897/2441406250000000
-353442769833087/390625000000000 -415828232850683/976562500000000
-48421693453563/48828125000000 2514768986759597/19531250000000000
11050767328062/19073486328125 7959557041782363/9765625000000000
4879421986501977/4882812500000000 -727725088723527/19531250000000000
5082349515982059/78125000000000000 4872469434709399/4882812500000000
-29402229768537/30517578125000 -327002040981117/1220703125000000
41251199763983/78125000000000 1658661761600291/1953125000000000
-1790996552974341/2441406250000000 -6636620615672517/9765625000000000
-436475570823959/976562500000000 4367961173362663/4882812500000000
-8132035211396001/78125000000000000 4856288460401359/4882812500000000
-6390815059086401/9765625000000000 738409876160791/976562500000000
-4796114262048321/4882812500000000 229012267074951/1220703125000000
-825453865799119/976562500000000 -5218239471733163/9765625000000000
-1936206583969133/2441406250000000 -237941494213139/390625000000000
-146759692420783/152587890625000 1336610943785359/4882812500000000
479952307196373/488281250000000 359207169604191/1953125000000000
7179089223364553/9765625000000000 6620280172590577/9765625000000000
-2204821431845527/2441406250000000 8387521898491647/19531250000000000
-960782460328951/2441406250000000 -8977626894865533/9765625000000000
3150729836191249/9765625000000000 4621697013542733/4882812500000000
504797012297321/2500000000000000000 4882812400460927/4882812500000000
-2420144065618977/2441406250000000 5144122653301299/39062500000000000
-941265164499489/1220703125000000 -3109047466950649/4882812500000000
