1000
-2306163053012921/4882812500000000 8607780174487351/9765625000000000
1521890520399109/2441406250000000 7636034281178567/9765625000000000
-189326579761697/390625000000000 -1708386203561257/1953125000000000
-5652871332403167/9765625000000000 -7963195171532559/9765625000000000
2805485105588971/4882812500000000 -7992774545168827/9765625000000000
2727905550885749/39062500000000000 -121772289955997/122070312500000
-877930957274927/1220703125000000 6785176094484073/9765625000000000
4882797787759043/4882812500000000 6137041641528331/2500000000000000000
-1187590143128931/1220703125000000 -4518287005039557/19531250000000000
4595980110239819/4882812500000000 -824442953823403/2441406250000000
-644086798422157/1953125000000000 -2304835088231401/2441406250000000
1932586221602159/2441406250000000 46619878380027/76293945312500
460882193763901/488281250000000 3225286503424869/9765625000000000
582586425908621/610351562500000 5823831750818991/19531250000000000
2431103532612401/2441406250000000 -7169720597678331/78125000000000000
5963572918010689/78125000000000000 -4868566035938631/4882812500000000
-5477692678771213/9765625000000000 4042348159101379/4882812500000000
-3188170632821547/19531250000000000 -1204330231683703/1220703125000000
5581386765813213/156250000000000000 4879696317812479/4882812500000000
-4677645611351183/4882812500000000 560212737415103/1953125000000000
-611108744908463/976562500000000 -476076255340963/610351562500000
-7777267976260469/19531250000000000 -8958010791854593/9765625000000000
3003212276473789/156250000000000000 488191048828703/488281250000000
-8572078025158881/9765625000000000 -2339172394844661/4882812500000000
-488148794476557/488281250000000 -7278394270994001/312500000000000000
-7790543921241369/9765625000000000 -2944268035175897/4882812500000000
4603046457327119/9765625000000000 -1722549214998669/1953125000000000
-2220415762151377/2441406250000000 4059986838853117/9765625000000000
-7587202354267591/9765625000000000 6148316198441759/9765625000000000
6842094666950439/9765625000000000 3484005317487093/4882812500000000
-7442667994089059/9765625000000000 316125468644917/488281250000000
-4602054281033717/4882812500000000 1305484873496553/3906250000000000
1615814410868891/3906250000000000 1111372886384523/1220703125000000
-367805276312499/1220703125000000 2327947935931087/2441406250000000
-4828505657069779/78125000000000000 2436738895219637/2441406250000000
