500
109680530639453566/4828214727392132504 3980427054109973406/7208820803887484948
719430678125860225/8052074061406384975 675653215008187931/9175736716555870214
3421317409500431721/7353167019007884044 704336906341385738/5754441999547640323
6763324764970124427/7179669638316914515 3236462023347119229/8652674831330824977
2302713691753859531/5425035504529489498 8159708240737875109/8230259736848917336
4177535003936985025/6610969675231309896 5210432524485283060/7704206234721287014
592989159960362316/6199452873776984836 767287701232628890/2297946281823038069
321309306413578416/629714043446602890 1194990350451405450/3856527904752378366
226137541702403214/2938288299871747202 2281932577615936260/2596469746177884155
948586777432444202/8783297308491371523 3805062315443430185/6003746209040608397
2880614230980162187/8997844548982788421 1404511052498934553/7075389393058082808
5211699015873418021/9099767766084125108 3838483030013236310/5281403256099712960
3473085502231987211/8722363858035622046 2022033925663272975/2414336058699994418
7443458789806347128/8960131040961493021 2079588059628995480/4769019627331460772
1395545322470574516/6575771230605203000 1695888062079177243/2747941445083612780
4594257458632631579/6145427793519509573 900826990280841663/5319944813871419761
1592193365302586758/5194784731800446790 4751794237165517549/8699564963768996828
2980338790981015825/3227430724404182282 5433054882023344332/8191114530366742642
70528908682852216/8614767283451354442 4825689389889483057/7396561529111031171
2536010598962743252/3401512692600654028 2895675476583006767/7534250387898153787
4765151898469390230/5615800288669526982 5393218506015656314/5832743104132956762
2647410274491344320/8494607575565003041 6724274816797385782/9034408862681473368
91591445747350452/4707961406814137055 112424713894731539/3296660901511471447
5521175665193705527/8298260354428857897 4920564109195870661/6423341955775626028
3613856239506547300/4963865529728394940 3476150435030388963/8960106961805512253
3107427861490828394/7052655299703641457 3956376596255365478/5906573959362050803
8160474280224580728/9187322957468429196 5895066848855162625/6929526492781206879
5614092542216755680/6606673327580445200 2904685768792572936/3423406640979476981
2466707839737136336/4510985421247813385 3430648386838564070/6795856166427357039
263065526675239894/3658591327241730185 1437776030649840682/7061993351674397671
3184696158034706760/7148251170057417286 3767245915625417754/6440638619262276209
3200901120068197252/6735485023065267265 651668008849859289/3911761378893045946
1710242635766301793/5942609328494013037 4077456847918011391/6965104132298564731
3001403650590771665/3370624798061593920 1142842173847648299/6113743653877198284
467864474372737716/2820998006108006702 6933465555448001807/8406063514022308519
4785177538807591765/7328369027663478801 2077604266445960979/4651227618878429025
1318437419318339679/1421117804842579701 1024417630859455102/8156586243399004179
7327365013481006708/8184368765142654444 1467141406425454359/9114387152431778172
1993948225478955768/2953381753657643687 5260547913881251638/5430928540034017792
6447106553165587748/8443768254207049397 1964784025069560823/3305387306373970685
4204959914090690627/5383894024897266031 1846191626577200298/9138356300661087497
8181560568488068114/8560552650281093342 7115226190230746334/8557209345356680744
5029204547345532634/6317013079758616703 2979112798892490250/8019602685513636894
5891074884456466040/6213784847620479353 4929583025143711771/8723557250265928439
4424034208491593563/5629846469619705879 4724177970898927604/8176116420245775675
1319367670189368449/6883723905722251735 2588977810875824266/6631012800289500757
1542768488881306399/2184032493728510347 1906783623977615875/6721382358814519787
3492214832469995732/6530659843369570978 2890073944616652420/8791379619379704664
3288436794329346998/4636518629706616536 4737604562307729970/8872698141490268723
3733850123844406498/6630407875035365070 3376472030040838355/3622270984886896548
3467089599339750781/3710189060550952724 4723960518781292243/6557852505173613966
5121479298190364740/8720119313181772049 6228284655258273190/8247265353261356468
7716541248051970417/8778961452049290285 4810643567815150462/9079399970285580710
6276946338053857737/6484524510576642876 7276168522132053880/7432961198941782508
6660388608136237857/7065241956769352122 650392765843195469/5619366194204060767
329944510871281266/2377282460500592141 4310015054799425706/6941721144135290871
4919205631150967057/5819986324933344602 7144416425616081184/8445117865235296927
2330687515037148210/5145565129007246133 7612509169330150340/9209811843670227146
3686994254346492629/3872776196768478579 7178297744549365591/7830888322145070090
3963918104419534049/6692009049588690575 1967647593190833645/7863508328331743662
1175865278153906130/4558626391398299015 5397652502617091516/8519098551136868782
2025557081177723280/7448163345338741019 3665526255645798342/5637104524254871201
1122163320024444852/2649709974111780354 1608813207290819564/7536782011309900077
2268461968840722695/6323817179036080764 1807780094009748063/5692584755411303810
344504755818751525/6401203832134089956 324303185701809770/8368160709323484221
6060884119934617029/6388271506755955863 1776674131330186994/2795077141737290153
6267278591262595506/7021247388959334735 6596697762465944274/8415742161717930108
6309188008117364261/6976348168528930317 8838829257863250190/9203834234058592530
3375513545220809177/4236004079370639244 6479399577115053797/8396432117768341979
3993488380337179901/8660348996822888701 467998746574808265/1882882181544673589
2910090054007865173/2933730471372502490 7697523478403998949/8455045786838228083
2618665269230172713/4326908713967074648 5462767418064450956/7052883343996202176
1510137782299412886/8741330541590360204 7021133414352177381/8541634807782059203
3593439172485988116/8313133748369140825 4761705987449655082/8912222505640209241
699325379589584196/6102560222839603569 1005543259247682139/1553292595279241070
993273458320600661/6605293433436241765 1018954586477245162/7463973158506345995
4519258690375311971/6330159601320168091 3922929279189623260/7736080611836678098
134791156701020001/5933188908081614202 873096095957265989/8766327881727878178
2136797035246361410/5792564657104932615 1951907252108185825/6986069243732576936
693924737064106439/5665588883979258805 3199947564235100535/8652231250707871516
7422187437146559218/8457061598682909477 1763314015239091999/4281609650759378599
1421532383558104882/8308353316391800372 3591726188971251070/5280785315585953748
3318915832447522199/6018660296963117714 405026970400766646/3198951646057643131
1612188475377630810/8302962785665760551 5189059570794370761/7872698895669082639
1425799795109853871/6701808813309439943 2442154167100126870/4757424861206153930
1535825401923840165/4199327934249636529 4505658784167875662/4666840422393592308
2070527076941658232/7262630982945000365 3679682963415522129/9043877578547918474
2215462910680835215/8174607141530143385 3032229077770619477/8530815903225376535
709623604241720185/2718131950921169606 2655354597017008118/7537455833823127701
3177223370480625788/7698935022188307422 2667970937535481080/3486695550501771890
4046385830166263924/7893013929032124687 419524921460374212/2939599147235389333
393213391096137439/2474363049970440024 5824250954959876900/6753518641605410546
6580432568729916018/7738851856691739291 4050251041340190035/7592636026693657164
7214213528023576793/8316655922037369571 989099586438555382/2662148728033262232
705880151952766798/7001185074031609040 133667915582139230/177060797867011448
5202438163366776237/5688385387961573531 7809365825465713327/8930292072430913794
1852764463342792842/8944746852261493234 1952124243934057083/6382961970304742312
5308276327576808346/5610353798684604901 1819822094382401743/7388660677154336031
1070279629665320562/4306775217517140580 4074881888275716432/5207644626816916663
221986562064744458/7015861874462202712 3147253145256564583/3522247077342756364
5166418467441606991/8874483644739587319 8951546130305259981/9054879997540467754
1560816857692262591/8260973359892008175 5722682649999827360/7034781820751328958
3084943230998961196/8530640168434032740 8238862705583997944/9051776288440923219
676309424662535141/4296911288381376230 5700669021064562550/6840541135505858798
5843677419017071505/9213442550507927188 465653690431701642/4623534988735162370
7073410007791304180/7876445367674977278 3130497269359155547/8899949260823518477
94567482365575885/2069947093085310569 5741337353616674633/6619727845304268727
6794825540563359854/7663889409486992579 2504130922657268945/8619249960309138330
6921792564514352611/7084270597370070557 5884718731192540835/8705713398070420207
147878294160827404/3320375164966645155 2632527161911247658/6871698107044315383
874610410557740793/2516418884685349469 7632419965975671532/8116502269526604149
5024775363985045680/5957241496468252909 2310472363876538120/6774905281073520108
1789005479125661863/5103015805528544337 4012611519851731491/6194465712488989121
5769381382503876636/6262396615015124587 663853155868061728/5944815129248936949
2115633411112408350/4782422126328417633 87812306206646051/5175110996809754990
5040281858369035344/5723150771929152029 6555945205372952515/7400819513236256731
2756414849293779852/4674822295316307497 3218755180870562623/8429843055317056678
524247317644877439/7256108251801180401 6202062541732565328/8501421889367633968
521349649700480183/7391931456705321189 3961738728255874524/5330411578418147972
2517500439310238540/3492922840465840255 442708484063378937/7769431245297875558
5507489946390273594/5742185964847280308 2309418082182685540/7397332826893993824
1995786553974805657/4646647363276700081 1558687662417454448/5321503374354885091
4937051684934299327/7626977072797165311 500213750891207908/2099681724929859168
2576546268374451530/5026844519493389402 4963428145110883342/6336622183368955820
2022933570929583337/4082939446359358941 1707885889628805902/6202846767220275974
96125910723224008/2692156485647122729 665745600101884923/4936134153264340823
3520460803759923828/9046960209507190613 5578340725801541513/7195972497868809826
1802286541183011812/7623575291062772884 68524912171673747/8327161609892170498
2885011521842499534/3734872528043087231 5390764387605426586/8657510633078262085
5036247783326232201/7925538016046931154 2123014633381509427/8697688446616336673
1152276909312679489/8548296453266183923 1696749885739701672/3782552022287630233
1116810299986376069/2470791860895460734 2645023148616723968/3382319829332330641
2485516304266761165/4699033566121837237 1219965993956559779/7359091498704250364
4368491545162133073/4733380370639016552 1300713998533203857/4373685324568272899
2188320417962229611/5281665113914549466 2954931585484078438/6434859193640492073
