fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 10007, 4, True, 9, True
BigRandom, n-100, test 2, 100, 10007, 1, True, 3, True
BigRandom, n-100, test 3, 100, 10007, 1, True, 4, True
BigRandom, n-100, test 4, 100, 10013, 1, True, 3, True
BigRandom, n-100, test 5, 100, 10010, 1, True, 3, True
BigRandom, n-1000, test 1, 1000, 10013, 13, True, 44, True
BigRandom, n-1000, test 2, 1000, 10014, 17, True, 49, True
BigRandom, n-1000, test 3, 1000, 10013, 10, True, 35, True
BigRandom, n-1000, test 4, 1000, 10011, 9, True, 31, True
BigRandom, n-1000, test 5, 1000, 10008, 9, True, 29, True
CircleRandom, n-100, test 1, 100, 10066, 0, True, 1, True
CircleRandom, n-100, test 2, 100, 10079, 0, True, 1, True
CircleRandom, n-100, test 3, 100, 10069, 0, True, 1, False
CircleRandom, n-100, test 4, 100, 10066, 0, True, 1, True
CircleRandom, n-100, test 5, 100, 10066, 0, True, 1, True
CircleRandom, n-1000, test 1, 1000, 10713, 6, True, 12, False
CircleRandom, n-1000, test 2, 1000, 10749, 6, True, 12, True
CircleRandom, n-1000, test 3, 1000, 10749, 6, True, 13, True
CircleRandom, n-1000, test 4, 1000, 10777, 7, True, 15, True
CircleRandom, n-1000, test 5, 1000, 10792, 11, True, 19, True
DisturbedRandom, n-100, test 1, 100, 10080, 0, True, 2, True
DisturbedRandom, n-100, test 2, 100, 10063, 2, True, 2, True
DisturbedRandom, n-100, test 3, 100, 10101, 0, True, 1, False
DisturbedRandom, n-100, test 4, 100, 10093, 0, True, 2, True
DisturbedRandom, n-100, test 5, 100, 10088, 0, True, 2, True
DisturbedRandom, n-1000, test 1, 1000, 10844, 18, True, 18, False
DisturbedRandom, n-1000, test 2, 1000, 10848, 8, True, 19, False
DisturbedRandom, n-1000, test 3, 1000, 10837, 7, True, 19, False
DisturbedRandom, n-1000, test 4, 1000, 10777, 7, True, 18, False
DisturbedRandom, n-1000, test 5, 1000, 10805, 11, True, 56, True
UnitRandom, n-100, test 1, 100, 10010, 0, True, 2, True
UnitRandom, n-100, test 2, 100, 10014, 0, True, 1, True
UnitRandom, n-100, test 3, 100, 10013, 0, True, 2, True
UnitRandom, n-100, test 4, 100, 10011, 0, True, 1, True
UnitRandom, n-100, test 5, 100, 10014, 0, True, 1, True
UnitRandom, n-1000, test 1, 1000, 10014, 9, True, 16, True
UnitRandom, n-1000, test 2, 1000, 10019, 5, True, 17, True
UnitRandom, n-1000, test 3, 1000, 10017, 12, True, 28, True
UnitRandom, n-1000, test 4, 1000, 10018, 6, True, 15, True
UnitRandom, n-1000, test 5, 1000, 10018, 6, True, 16, True
