Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 9, 17, True, 12, True
BigRandom, test 2, 100, 6, 12, True, 6, True
BigRandom, test 3, 100, 13, 17, True, 6, True
BigRandom, test 4, 100, 8, 10, True, 6, True
BigRandom, test 5, 100, 9, 12, True, 6, True
BigRandom, test 1, 1000, 11, DNF, DNF, 49, True
BigRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
BigRandom, test 3, 1000, 8, DNF, DNF, 40, True
BigRandom, test 4, 1000, 11, DNF, DNF, 35, True
BigRandom, test 5, 1000, 8, DNF, DNF, 33, True
CircleRandom, test 1, 100, 100, 18, True, 3, True
CircleRandom, test 2, 100, 100, 26, True, 3, True
CircleRandom, test 3, 100, 100, 21, True, 3, True
CircleRandom, test 4, 100, 100, 20, True, 3, True
CircleRandom, test 5, 100, 100, 21, True, 3, True
CircleRandom, test 1, 1000, 1000, DNF, DNF, 15, True
CircleRandom, test 2, 1000, 1000, DNF, DNF, 13, True
CircleRandom, test 3, 1000, 1000, DNF, DNF, 13, True
CircleRandom, test 4, 1000, 1000, DNF, DNF, 13, True
CircleRandom, test 5, 1000, 1000, DNF, DNF, 14, True
DisturbedRandom, test 1, 100, 77, 19, True, 3, True
DisturbedRandom, test 2, 100, 72, 17, True, 3, True
DisturbedRandom, test 3, 100, 75, 22, True, 3, True
DisturbedRandom, test 4, 100, 79, 18, True, 3, True
DisturbedRandom, test 5, 100, 72, 18, True, 3, True
DisturbedRandom, test 1, 1000, 241, DNF, DNF, 16, True
DisturbedRandom, test 2, 1000, 223, DNF, DNF, 18, True
DisturbedRandom, test 3, 1000, 229, DNF, DNF, 17, True
DisturbedRandom, test 4, 1000, 225, DNF, DNF, 16, True
DisturbedRandom, test 5, 1000, 237, DNF, DNF, 16, True
UnitRandom, test 1, 100, 12, 7, True, 3, True
UnitRandom, test 2, 100, 10, 5, True, 3, True
UnitRandom, test 3, 100, 14, 6, True, 3, True
UnitRandom, test 4, 100, 13, 6, True, 3, True
UnitRandom, test 5, 100, 14, 6, True, 4, True
UnitRandom, test 1, 1000, 17, 58, True, 15, True
UnitRandom, test 2, 1000, 18, DNF, DNF, 16, True
UnitRandom, test 3, 1000, 20, DNF, DNF, 15, True
UnitRandom, test 4, 1000, 21, DNF, DNF, 16, True
UnitRandom, test 5, 1000, 18, DNF, DNF, 16, True
