fp1; fp2; fp3; #Points; #Points on CH; Jarvis March runtime (ms); Jarvis March validity; Graham Scan runtime (ms); Graham Scan validity
serious-tests; BigRandom; n-100; 100; 7; 12; True; 8; True
serious-tests; BigRandom; n-100; 100; 7; 7; True; 3; True
serious-tests; BigRandom; n-100; 100; 7; 7; True; 4; True
serious-tests; BigRandom; n-100; 100; 13; 12; True; 4; True
serious-tests; BigRandom; n-100; 100; 10; 10; True; 3; True
serious-tests; BigRandom; n-1000; 1000; 13; 138; True; 51; True
serious-tests; BigRandom; n-1000; 1000; 14; 100; True; 30; True
serious-tests; BigRandom; n-1000; 1000; 13; 102; True; 29; True
serious-tests; BigRandom; n-1000; 1000; 11; 84; True; 30; True
serious-tests; BigRandom; n-1000; 1000; 8; 60; True; 30; True
serious-tests; CircleRandom; n-100; 100; 98; 16; False; 1; False
serious-tests; CircleRandom; n-100; 100; 99; 16; False; 1; False
serious-tests; CircleRandom; n-100; 100; 100; 15; False; 1; False
serious-tests; CircleRandom; n-100; 100; 97; 15; False; 1; False
serious-tests; CircleRandom; n-100; 100; 100; 15; False; 1; False
serious-tests; CircleRandom; n-1000; 1000; 998; 1551; False; 11; False
serious-tests; CircleRandom; n-1000; 1000; 997; 1549; False; 11; False
serious-tests; CircleRandom; n-1000; 1000; 999; 1547; False; 11; False
serious-tests; CircleRandom; n-1000; 1000; 998; 1531; False; 11; False
serious-tests; CircleRandom; n-1000; 1000; 1000; 1543; False; 11; False
serious-tests; DisturbedRandom; n-100; 100; 100; 23; False; 1; False
serious-tests; DisturbedRandom; n-100; 100; 99; 26; False; 1; False
serious-tests; DisturbedRandom; n-100; 100; 101; 27; False; 1; False
serious-tests; DisturbedRandom; n-100; 100; 99; 24; False; 1; False
serious-tests; DisturbedRandom; n-100; 100; 98; 26; False; 1; False
serious-tests; DisturbedRandom; n-1000; 1000; 995; 2512; False; 16; False
serious-tests; DisturbedRandom; n-1000; 1000; 999; 2308; False; 16; False
serious-tests; DisturbedRandom; n-1000; 1000; 995; 2328; False; 16; False
serious-tests; DisturbedRandom; n-1000; 1000; 997; 2314; False; 16; False
serious-tests; DisturbedRandom; n-1000; 1000; 996; 2317; False; 17; False
serious-tests; UnitRandom; n-100; 100; 10; 3; True; 1; True
serious-tests; UnitRandom; n-100; 100; 14; 4; True; 1; True
serious-tests; UnitRandom; n-100; 100; 13; 3; True; 1; True
serious-tests; UnitRandom; n-100; 100; 11; 3; True; 1; True
serious-tests; UnitRandom; n-100; 100; 14; 4; True; 1; True
serious-tests; UnitRandom; n-1000; 1000; 14; 43; True; 13; True
serious-tests; UnitRandom; n-1000; 1000; 19; 58; True; 12; True
serious-tests; UnitRandom; n-1000; 1000; 17; 51; True; 13; True
serious-tests; UnitRandom; n-1000; 1000; 18; 54; True; 13; True
serious-tests; UnitRandom; n-1000; 1000; 18; 55; True; 12; True
