fp1           ,fp2             ,fp3    ,#Points ,#Points on CH ,Jarvis March runtime (ms) ,Jarvis March validity ,Graham Scan runtime (ms) ,Graham Scan validity
serious-tests ,BigRandom       ,n-100  ,    100 ,            7 ,                       10 ,True                  ,                       8 ,True
serious-tests ,BigRandom       ,n-100  ,    100 ,            7 ,                        7 ,True                  ,                       3 ,True
serious-tests ,BigRandom       ,n-100  ,    100 ,            7 ,                        7 ,True                  ,                       4 ,True
serious-tests ,BigRandom       ,n-100  ,    100 ,           13 ,                       12 ,True                  ,                       3 ,True
serious-tests ,BigRandom       ,n-100  ,    100 ,           10 ,                       10 ,True                  ,                       4 ,True
serious-tests ,BigRandom       ,n-1000 ,   1000 ,           13 ,                      140 ,True                  ,                      29 ,True
serious-tests ,BigRandom       ,n-1000 ,   1000 ,           14 ,                       98 ,True                  ,                      29 ,True
serious-tests ,BigRandom       ,n-1000 ,   1000 ,           13 ,                      130 ,True                  ,                      28 ,True
serious-tests ,BigRandom       ,n-1000 ,   1000 ,           11 ,                       83 ,True                  ,                      30 ,True
serious-tests ,BigRandom       ,n-1000 ,   1000 ,            8 ,                       63 ,True                  ,                      28 ,True
serious-tests ,CircleRandom    ,n-100  ,    100 ,           98 ,                       17 ,False                 ,                       1 ,False
serious-tests ,CircleRandom    ,n-100  ,    100 ,           99 ,                       18 ,False                 ,                       1 ,False
serious-tests ,CircleRandom    ,n-100  ,    100 ,          100 ,                       18 ,False                 ,                       1 ,False
serious-tests ,CircleRandom    ,n-100  ,    100 ,           97 ,                       15 ,False                 ,                       1 ,False
serious-tests ,CircleRandom    ,n-100  ,    100 ,          100 ,                       15 ,False                 ,                       1 ,False
serious-tests ,CircleRandom    ,n-1000 ,   1000 ,          998 ,                     1521 ,False                 ,                      11 ,False
serious-tests ,CircleRandom    ,n-1000 ,   1000 ,          997 ,                     1508 ,False                 ,                      11 ,False
serious-tests ,CircleRandom    ,n-1000 ,   1000 ,          999 ,                     1540 ,False                 ,                      12 ,False
serious-tests ,CircleRandom    ,n-1000 ,   1000 ,          998 ,                     1671 ,False                 ,                      11 ,False
serious-tests ,CircleRandom    ,n-1000 ,   1000 ,         1000 ,                     1639 ,False                 ,                      11 ,False
serious-tests ,DisturbedRandom ,n-100  ,    100 ,          100 ,                       23 ,False                 ,                       1 ,False
serious-tests ,DisturbedRandom ,n-100  ,    100 ,           99 ,                       33 ,False                 ,                       2 ,False
serious-tests ,DisturbedRandom ,n-100  ,    100 ,          101 ,                       26 ,False                 ,                       1 ,False
serious-tests ,DisturbedRandom ,n-100  ,    100 ,           99 ,                       24 ,False                 ,                       1 ,False
serious-tests ,DisturbedRandom ,n-100  ,    100 ,           98 ,                       24 ,False                 ,                       1 ,False
serious-tests ,DisturbedRandom ,n-1000 ,   1000 ,          995 ,                     2313 ,False                 ,                      16 ,False
serious-tests ,DisturbedRandom ,n-1000 ,   1000 ,          999 ,                     2412 ,False                 ,                      16 ,False
serious-tests ,DisturbedRandom ,n-1000 ,   1000 ,          995 ,                     2371 ,False                 ,                      16 ,False
serious-tests ,DisturbedRandom ,n-1000 ,   1000 ,          997 ,                     2351 ,False                 ,                      16 ,False
serious-tests ,DisturbedRandom ,n-1000 ,   1000 ,          996 ,                     2316 ,False                 ,                      16 ,False
serious-tests ,UnitRandom      ,n-100  ,    100 ,           10 ,                        3 ,True                  ,                       1 ,True
serious-tests ,UnitRandom      ,n-100  ,    100 ,           14 ,                        4 ,True                  ,                       1 ,True
serious-tests ,UnitRandom      ,n-100  ,    100 ,           13 ,                        4 ,True                  ,                       1 ,True
serious-tests ,UnitRandom      ,n-100  ,    100 ,           11 ,                        3 ,True                  ,                       1 ,True
serious-tests ,UnitRandom      ,n-100  ,    100 ,           14 ,                        4 ,True                  ,                       1 ,True
serious-tests ,UnitRandom      ,n-1000 ,   1000 ,           14 ,                       48 ,True                  ,                      12 ,True
serious-tests ,UnitRandom      ,n-1000 ,   1000 ,           19 ,                       58 ,True                  ,                      12 ,True
serious-tests ,UnitRandom      ,n-1000 ,   1000 ,           17 ,                       50 ,True                  ,                      12 ,True
serious-tests ,UnitRandom      ,n-1000 ,   1000 ,           18 ,                       52 ,True                  ,                      12 ,True
serious-tests ,UnitRandom      ,n-1000 ,   1000 ,           18 ,                       53 ,True                  ,                      12 ,True
