fp1             ,fp2    ,fp3    ,#Points ,#Points on CH ,Jarvis March runtime (ms) ,Jarvis March validity ,Graham Scan runtime (ms) ,Graham Scan validity
BigRandom       ,n-100  ,test 1 ,    100 ,            7 ,                       10 ,True                  ,                       8 ,True
BigRandom       ,n-100  ,test 2 ,    100 ,            7 ,                        8 ,True                  ,                       3 ,True
BigRandom       ,n-100  ,test 3 ,    100 ,            7 ,                        7 ,True                  ,                       4 ,True
BigRandom       ,n-100  ,test 4 ,    100 ,           13 ,                       13 ,True                  ,                       3 ,True
BigRandom       ,n-100  ,test 5 ,    100 ,           10 ,                       10 ,True                  ,                       3 ,True
BigRandom       ,n-1000 ,test 1 ,   1000 ,           13 ,                      139 ,True                  ,                      30 ,True
BigRandom       ,n-1000 ,test 2 ,   1000 ,           14 ,                       99 ,True                  ,                      29 ,True
BigRandom       ,n-1000 ,test 3 ,   1000 ,           13 ,                       97 ,True                  ,                      30 ,True
BigRandom       ,n-1000 ,test 4 ,   1000 ,           11 ,                       87 ,True                  ,                      30 ,True
BigRandom       ,n-1000 ,test 5 ,   1000 ,            8 ,                       73 ,True                  ,                      29 ,True
CircleRandom    ,n-100  ,test 1 ,    100 ,           98 ,                       15 ,False                 ,                       1 ,False
CircleRandom    ,n-100  ,test 2 ,    100 ,           99 ,                       15 ,False                 ,                       0 ,False
CircleRandom    ,n-100  ,test 3 ,    100 ,          100 ,                       15 ,False                 ,                       1 ,False
CircleRandom    ,n-100  ,test 4 ,    100 ,           97 ,                       15 ,False                 ,                       0 ,False
CircleRandom    ,n-100  ,test 5 ,    100 ,          100 ,                       14 ,False                 ,                       1 ,False
CircleRandom    ,n-1000 ,test 1 ,   1000 ,          998 ,                     1510 ,False                 ,                      11 ,False
CircleRandom    ,n-1000 ,test 2 ,   1000 ,          997 ,                     1499 ,False                 ,                      11 ,False
CircleRandom    ,n-1000 ,test 3 ,   1000 ,          999 ,                     1493 ,False                 ,                      11 ,False
CircleRandom    ,n-1000 ,test 4 ,   1000 ,          998 ,                     1504 ,False                 ,                      10 ,False
CircleRandom    ,n-1000 ,test 5 ,   1000 ,         1000 ,                     1511 ,False                 ,                      11 ,False
DisturbedRandom ,n-100  ,test 1 ,    100 ,          100 ,                       23 ,False                 ,                       1 ,False
DisturbedRandom ,n-100  ,test 2 ,    100 ,           99 ,                       23 ,False                 ,                       1 ,False
DisturbedRandom ,n-100  ,test 3 ,    100 ,          101 ,                       23 ,False                 ,                       1 ,False
DisturbedRandom ,n-100  ,test 4 ,    100 ,           99 ,                       22 ,False                 ,                       1 ,False
DisturbedRandom ,n-100  ,test 5 ,    100 ,           98 ,                       23 ,False                 ,                       1 ,False
DisturbedRandom ,n-1000 ,test 1 ,   1000 ,          995 ,                     2314 ,False                 ,                      16 ,False
DisturbedRandom ,n-1000 ,test 2 ,   1000 ,          999 ,                     2280 ,False                 ,                      16 ,False
DisturbedRandom ,n-1000 ,test 3 ,   1000 ,          995 ,                     2322 ,False                 ,                      19 ,False
DisturbedRandom ,n-1000 ,test 4 ,   1000 ,          997 ,                     2366 ,False                 ,                      17 ,False
DisturbedRandom ,n-1000 ,test 5 ,   1000 ,          996 ,                     2334 ,False                 ,                      16 ,False
UnitRandom      ,n-100  ,test 1 ,    100 ,           10 ,                        3 ,True                  ,                       1 ,True
UnitRandom      ,n-100  ,test 2 ,    100 ,           14 ,                        4 ,True                  ,                       1 ,True
UnitRandom      ,n-100  ,test 3 ,    100 ,           13 ,                        3 ,True                  ,                       1 ,True
UnitRandom      ,n-100  ,test 4 ,    100 ,           11 ,                        3 ,True                  ,                       1 ,True
UnitRandom      ,n-100  ,test 5 ,    100 ,           14 ,                        4 ,True                  ,                       1 ,True
UnitRandom      ,n-1000 ,test 1 ,   1000 ,           14 ,                       43 ,True                  ,                      12 ,True
UnitRandom      ,n-1000 ,test 2 ,   1000 ,           19 ,                       59 ,True                  ,                      12 ,True
UnitRandom      ,n-1000 ,test 3 ,   1000 ,           17 ,                       50 ,True                  ,                      13 ,True
UnitRandom      ,n-1000 ,test 4 ,   1000 ,           18 ,                       53 ,True                  ,                      12 ,True
UnitRandom      ,n-1000 ,test 5 ,   1000 ,           18 ,                       54 ,True                  ,                      12 ,True
