100
-2393701993796797/2441406250000000 1921063215752371/9765625000000000
-1832258510093779/2441406250000000 -3226944827373401/4882812500000000
-1566239438896291/1953125000000000 5834362188086269/9765625000000000
-4121451935216513/19531250000000000 4772861828270593/4882812500000000
577222545838047/610351562500000 158680887161493/488281250000000
-423710163045013/2441406250000000 4808714662057391/4882812500000000
4881667606253847/4882812500000000 -3383429505853333/156250000000000000
4850956210948069/9765625000000000 4237795874039043/4882812500000000
1549668673602409/7812500000000000 -2392894822194141/2441406250000000
8377835746537903/19531250000000000 -551349192789099/610351562500000
-4889238064148217/19531250000000000 -4727347814278267/4882812500000000
325743140307869/390625000000000 2694882220506351/4882812500000000
4696014546567951/4882812500000000 -668824582491263/2441406250000000
-8892758212003941/39062500000000000 -2377299674158323/2441406250000000
4406914288907381/4882812500000000 2102608941382159/4882812500000000
1454987131473889/2441406250000000 7841914995493839/9765625000000000
-6020207177870313/39062500000000000 -4824475379162871/4882812500000000
6464203165213829/9765625000000000 -3659969572259601/4882812500000000
2737171586275769/4882812500000000 -1010870590674223/1220703125000000
8746825506434231/9765625000000000 8685729721932767/19531250000000000
-7437990231774651/9765625000000000 6328011769319797/9765625000000000
291062212927981/305175781250000 -5870947713282021/19531250000000000
-6369429648686251/9765625000000000 3701276725369961/4882812500000000
2255037438263467/2441406250000000 1871117986198843/4882812500000000
7686545182865757/9765625000000000 6023657924582723/9765625000000000
-4956647715997759/9765625000000000 1051777328056829/1220703125000000
4783949463302953/19531250000000000 -2367037818188667/2441406250000000
-5574544458776751/39062500000000000 -483283586573259/488281250000000
-6797418591812697/9765625000000000 -701159982659479/976562500000000
5760737322675701/19531250000000000 -933117934751057/976562500000000
-4828711474990809/78125000000000000 -2436738496932509/2441406250000000
4083814769308831/156250000000000000 2440572230389931/2441406250000000
3132646401412853/625000000000000000 4882751165405551/4882812500000000
-387789970541171/1953125000000000 -2392800465841711/2441406250000000
-1787442325354001/1953125000000000 7872402423390721/19531250000000000
-1626157038574027/2441406250000000 3642020188541087/4882812500000000
2194117281632381/312500000000000000 -2441346072375279/2441406250000000
1163527673278817/1220703125000000 184607335241011/610351562500000
1542076178018569/4882812500000000 4632910421251839/4882812500000000
470247494233081/488281250000000 2629515032782357/9765625000000000
-1664588745529231/2441406250000000 7143790350559269/9765625000000000
119215600699021/122070312500000 -8398410478601909/39062500000000000
-6089228288253421/9765625000000000 7634705658645873/9765625000000000
-194810980001227/195312500000000 -5595065357423997/78125000000000000
-6634509980203261/9765625000000000 716594089866839/976562500000000
1568134219377457/1953125000000000 5821624205585701/9765625000000000
4846207366666103/4882812500000000 4774144158208549/39062500000000000
8570119161842713/39062500000000000 238192408749751/244140625000000
-2429090308008803/2441406250000000 -7837371188772633/78125000000000000
4631823011606789/9765625000000000 -8597304649119677/9765625000000000
-6065488045319581/19531250000000000 -2320693529605513/2441406250000000
7824245135954933/9765625000000000 5843682032170349/9765625000000000
3209106546310933/4882812500000000 -7360297027859831/9765625000000000
7861358885112249/19531250000000000 -178792830684557/195312500000000
-4587896609939923/9765625000000000 -4310412867032773/4882812500000000
-947996301201513/976562500000000 586181122363751/2441406250000000
-2486900635655983/9765625000000000 944366225936733/976562500000000
7030436338855687/9765625000000000 6777934532431133/9765625000000000
-4832069024128143/4882812500000000 -1123385575800637/7812500000000000
-8872575935582133/9765625000000000 4079807337112113/9765625000000000
-4851585931049841/4882812500000000 -551336434308029/4882812500000000
-3918092458819703/4882812500000000 728457676974803/1220703125000000
4894338169606947/19531250000000000 4727017958264151/4882812500000000
