100
4879887753640407/4882812500000000 -5407282511139629/156250000000000000
-6814174661702259/9765625000000000 699531667049033/976562500000000
3956934157307821/9765625000000000 892805150720781/976562500000000
-5611833051679701/9765625000000000 -999021094627607/1220703125000000
-7813694452287749/9765625000000000 1464445514668279/2441406250000000
-7989007957739539/9765625000000000 2808165926890687/4882812500000000
-939815663197163/3906250000000000 473938543974013/488281250000000
-10618482720682/19073486328125 -1014043001750563/1220703125000000
-527601880307161/610351562500000 -1227454509088069/2441406250000000
2242412202140841/4882812500000000 -8674893757469567/9765625000000000
2346554025981981/2441406250000000 -539124434281701/1953125000000000
6698161001736679/39062500000000000 4810492349809447/4882812500000000
7673681263834371/19531250000000000 -8980316564904287/9765625000000000
-272862536124271/390625000000000 1397622329215147/1953125000000000
2447584267709473/4882812500000000 -2112533382139637/2441406250000000
1051182647350527/2441406250000000 8814061056696351/9765625000000000
3479781854944999/4882812500000000 6850686433388057/9765625000000000
4841622000273239/4882812500000000 1265787212174959/9765625000000000
-2502466574222371/4882812500000000 8385587386714421/9765625000000000
2887268035462023/19531250000000000 2414582682155899/2441406250000000
-2583313608737989/9765625000000000 4708872541265427/4882812500000000
-7054422447781869/9765625000000000 -168824160683639/244140625000000
-1917257481421559/2441406250000000 1209188349919961/1953125000000000
-2263999879459899/9765625000000000 4749782526243453/4882812500000000
-969902574968157/976562500000000 4554261560584921/39062500000000000
4750669087897019/4882812500000000 4513094064973079/19531250000000000
-27281567185779/30517578125000 -4376386574554221/9765625000000000
8920098604627899/19531250000000000 -8687657443842607/9765625000000000
1113667019567279/1220703125000000 -3998894958663653/9765625000000000
7028482339936223/9765625000000000 -847495092517407/1220703125000000
-4794950289115979/4882812500000000 9221223536293/48828125000000
344368630781379/610351562500000 4031391033218779/4882812500000000
101993875015619/122070312500000 -5365615358943843/9765625000000000
4257806115919237/4882812500000000 -2390176769487351/4882812500000000
4921121414818767/19531250000000000 2362639845672871/2441406250000000
34944718690597/39062500000000 8728481280913663/19531250000000000
-6586568185086581/9765625000000000 -3605015644342971/4882812500000000
2152376424726247/4882812500000000 8765645130037813/9765625000000000
-7672848039196311/19531250000000000 -4490247275553857/4882812500000000
-3814770624260417/19531250000000000 -1197192764029767/1220703125000000
1656627543304539/1953125000000000 5172722804263167/9765625000000000
2052518263139971/2441406250000000 -2643961616223609/4882812500000000
4882760983205633/4882812500000000 -5742000911171859/1250000000000000000
3167140435162251/4882812500000000 -1486530423455451/1953125000000000
-852139564970781/31250000000000000 4880996807818547/4882812500000000
1906963487483573/2441406250000000 -762226136875329/1220703125000000
2015744985648441/2441406250000000 -5509608523838663/9765625000000000
-2376522763044533/4882812500000000 170617689431723/195312500000000
228602474725557/610351562500000 905478349985569/976562500000000
470395922821137/488281250000000 1309437088783323/4882812500000000
-39557106070941/78125000000000 -8421281620369167/9765625000000000
2780911928590777/9765625000000000 4680650608784171/4882812500000000
4753959747344389/4882812500000000 -4457307942308717/19531250000000000
-4882148258595541/4882812500000000 -1288600232689173/78125000000000000
4748824022669163/9765625000000000 8533235145145437/9765625000000000
-2454264920368549/39062500000000000 2436582752056601/2441406250000000
136493711740829/488281250000000 4688155775534491/4882812500000000
5386387129191981/9765625000000000 8145812748590527/9765625000000000
-1220474266944243/1220703125000000 1210187694648583/62500000000000000
-4686776626659329/4882812500000000 -2739330401361649/9765625000000000
-1046298440329031/1220703125000000 -2515156275541709/4882812500000000
-4734143983800851/9765625000000000 -1708277639978551/1953125000000000
4939186236140339/312500000000000000 -4882202572889183/4882812500000000
-1461387855602893/2441406250000000 7822848599363729/9765625000000000
6096619928564451/78125000000000000 -2433961143103827/2441406250000000
-3256352773692933/4882812500000000 -727681922914637/976562500000000
-951519441959513/976562500000000 1757909084872039/7812500000000000
6437932867642329/9765625000000000 3671527339962063/4882812500000000
-4841560000711393/4882812500000000 2533470882935867/19531250000000000
1366755362626207/1953125000000000 -3488084220203751/4882812500000000
5460255685510841/9765625000000000 4048241577817199/4882812500000000
181280248266069/195312500000000 -181735457548231/488281250000000
-8564543952181491/9765625000000000 -14662884469789/30517578125000
-4836451771189933/4882812500000000 -268504651761569/1953125000000000
-6883447960148189/9765625000000000 6927162176573951/9765625000000000
3825995083260301/4882812500000000 -758436695324017/1220703125000000
-27969276684981/488281250000000 4874795366610597/4882812500000000
-7341719307374503/19531250000000000 -565589505252167/610351562500000
-7741445288605771/39062500000000000 -4785964066761921/4882812500000000
6407052259707869/19531250000000000 -4612614550771831/4882812500000000
4839961976572399/78125000000000000 2436716699675583/2441406250000000
-4958073283674571/19531250000000000 -1180716208553713/1220703125000000
