1000
7054600460307119/156250000000000000 4877833222410319/4882812500000000
3680354557815187/4882812500000000 3208870243391781/4882812500000000
8912431540802653/156250000000000000 487486288509403/488281250000000
6878953934003581/19531250000000000 -4569940640590673/4882812500000000
-117287235952577/244140625000000 -1712978207599761/1953125000000000
637055984301637/976562500000000 74015808397377/97656250000000
-616676610585173/1220703125000000 -8427862656088121/9765625000000000
8183273882088751/9765625000000000 1065860407583453/1953125000000000
1047877285406121/3906250000000000 -587980651479623/610351562500000
177390468285531/488281250000000 4549188948186287/4882812500000000
309913819031123/488281250000000 7546442973351269/9765625000000000
7178572521384641/9765625000000000 6620840444826197/9765625000000000
1183174613257231/1220703125000000 -1201425512819617/4882812500000000
4870829328981491/4882812500000000 -5470024394006861/78125000000000000
6703549394246489/9765625000000000 -3550699126915801/4882812500000000
3490030198263709/9765625000000000 2280174347169427/2441406250000000
-1264968537995899/1953125000000000 -7440685222991089/9765625000000000
-439536543932719/2441406250000000 -4803029087601591/4882812500000000
4460554984847879/4882812500000000 7945118891299223/19531250000000000
-488154296639673/488281250000000 3562819899456197/156250000000000000
-1365973421274951/3906250000000000 -914907976071583/976562500000000
-3481780147951933/9765625000000000 -2280962497526439/2441406250000000
7384078360494501/19531250000000000 452040590910109/488281250000000
-2328617586908537/2441406250000000 2933951905479909/9765625000000000
-2434249017709983/9765625000000000 -1182171356025131/1220703125000000
3261995793332019/4882812500000000 56771113385673/76293945312500
116507225559843/488281250000000 4741778627202143/4882812500000000
-3214144443033419/4882812500000000 7351498734128611/9765625000000000
1024405764756081/1220703125000000 -5310873064311891/9765625000000000
959144600263789/3906250000000000 -4733331064490421/4882812500000000
-8544530663196341/39062500000000000 -2382283160052703/2441406250000000
4552539829334343/9765625000000000 2159887334199249/2441406250000000
4922023528897967/39062500000000000 4843895305289843/4882812500000000
-1019160669518667/3906250000000000 -4713693580974721/4882812500000000
309106447711257/390625000000000 -597081938516021/976562500000000
-7243433176187057/19531250000000000 -4534605842742927/4882812500000000
-535694819594993/1220703125000000 137110082349677/152587890625000
76278824645967/76293945312500 6221339925863917/312500000000000000
5188329453615677/39062500000000000 1209887707748969/1220703125000000
-1741307863109567/1953125000000000 -8846152788064387/19531250000000000
-4173061545209307/4882812500000000 253523475245421/488281250000000
-725173325306239/2441406250000000 -4662440616588421/4882812500000000
4161824416672327/9765625000000000 8834401460507387/9765625000000000
1899603578735613/9765625000000000 -957908857273383/976562500000000
-164962970493871/305175781250000 -1643186456215403/1953125000000000
3915549594081197/4882812500000000 -2917246867587113/4882812500000000
4535254670326621/4882812500000000 723693082507973/1953125000000000
2414138525098247/2441406250000000 -1455470558550859/9765625000000000
8597699601218599/9765625000000000 -289443115686119/610351562500000
-3856005004440033/4882812500000000 2995510526753273/4882812500000000
-1135410150952243/1220703125000000 -1434513667775093/3906250000000000
-1092042049897247/1953125000000000 1619302759486693/1953125000000000
269702422562233/390625000000000 3532184475670269/4882812500000000
2256914688039643/2441406250000000 1489634000428279/3906250000000000
-2387117889127933/2441406250000000 -4095911412670657/19531250000000000
7930415321089907/9765625000000000 5698766925892607/9765625000000000
3918606666388659/4882812500000000 -1456569574744939/2441406250000000
-7794025327045983/156250000000000000 -1219183508367497/1220703125000000
1071658881118819/1220703125000000 4676158162621459/9765625000000000
4157739952342649/4882812500000000 1280142218549369/2441406250000000
976030555074937/976562500000000 -5156549460523013/156250000000000000
3665532171447427/78125000000000000 -152419846515777/152587890625000
7791030843648773/312500000000000000 -4881294760077903/4882812500000000
-3032791911527483/4882812500000000 1530700813694419/1953125000000000
8365302533477409/9765625000000000 5038764249696689/9765625000000000
