1000
-4832418079564283/9765625000000000 -8486175059761921/9765625000000000
7232678638301569/19531250000000000 -9071357206581/9765625000000
942811744966683/1220703125000000 -1550770302704619/2441406250000000
860135567006537/976562500000000 -2312147934154479/4882812500000000
-917318745573537/976562500000000 -6699272659793531/19531250000000000
-1426853562661573/15625000000000000 4862410767082903/4882812500000000
243886484093611/244140625000000 7127532967073279/156250000000000000
-5285095553359663/19531250000000000 2350324085213961/2441406250000000
8005667141502133/39062500000000000 -238958367832979/244140625000000
4902188627852793/39062500000000000 -4844209579660143/4882812500000000
6573598881523167/39062500000000000 601647052498381/610351562500000
216987483344309/6250000000000000 -4879868889724729/4882812500000000
4204141510665883/4882812500000000 -4966710005004213/9765625000000000
8571755301866091/9765625000000000 -4678936063418217/9765625000000000
-468529407953419/2441406250000000 4792053702295867/4882812500000000
878717673702169/1220703125000000 -6778655297013243/9765625000000000
-7060716265087529/39062500000000000 96047683212361/97656250000000
2421439278850667/2441406250000000 -4985644579472709/39062500000000000
4882291089769729/4882812500000000 -4566759861974813/312500000000000000
-4681331072576633/4882812500000000 -1388163282573331/4882812500000000
-66393291680097/76293945312500 2405495073449773/4882812500000000
8983422499233393/9765625000000000 1914781439283101/4882812500000000
8043057246717383/19531250000000000 -4449571304410453/4882812500000000
-7391006200740493/19531250000000000 -4519698233172733/4882812500000000
7151148362161549/78125000000000000 -18993413684108/19073486328125
768446943026093/1220703125000000 3793901243076563/4882812500000000
6642395876464297/78125000000000000 2432565960135609/2441406250000000
-148302118924517/390625000000000 -2258615208930387/2441406250000000
-2210547936264501/2441406250000000 -8290494987454751/19531250000000000
-750549486297503/1953125000000000 -4507890813786667/4882812500000000
-8711466223504083/9765625000000000 8826729377832427/19531250000000000
8851437128253609/9765625000000000 8250937499508403/19531250000000000
4539729312092289/4882812500000000 -7191901760270447/19531250000000000
-598132685098317/610351562500000 -7777072087614323/39062500000000000
8623881915015157/19531250000000000 -8762111436154737/9765625000000000
-4389243473102869/4882812500000000 -4278504245167983/9765625000000000
-4283757296815701/9765625000000000 -4387962370582821/4882812500000000
6754433591917149/19531250000000000 2290767316229983/2441406250000000
-1208267291557983/39062500000000000 -610059510657357/610351562500000
-72785949722797/76293945312500 -5854354594195831/19531250000000000
134053167921857/1562500000000000 -486480905787987/488281250000000
914235805880199/976562500000000 6865776216942497/19531250000000000
1118531944060567/1220703125000000 -156441192570523/390625000000000
5627421307686191/9765625000000000 7981200477774283/9765625000000000
4463329210984511/4882812500000000 7920151780897769/19531250000000000
8745761980937791/9765625000000000 347600497246209/781250000000000
-5202670216869333/9765625000000000 -258261265211261/305175781250000
-4521984375879207/19531250000000000 -2375070340625477/2441406250000000
8542401896904461/78125000000000000 2426767838791011/2441406250000000
954977137863571/976562500000000 -2041885955780887/9765625000000000
-488146766957563/488281250000000 -1833470225363339/78125000000000000
5159683652528461/9765625000000000 8291266263150373/9765625000000000
-4849770923630617/4882812500000000 4536641213678903/39062500000000000
-4725353007787897/9765625000000000 8546254769922019/9765625000000000
935905114939447/976562500000000 -5576950142736817/19531250000000000
-5660415312557851/19531250000000000 93465157284929/97656250000000
-4835582089911817/4882812500000000 -2709992654987293/19531250000000000
5673085368258759/78125000000000000 243496096273501/244140625000000
-1920528053917653/2441406250000000 -3014655185359901/4882812500000000
29361049255263/30517578125000 5325913777574343/19531250000000000
-5752595650483257/9765625000000000 -986431977212143/1220703125000000
2422116228244481/2441406250000000 -2450370805099241/19531250000000000
2828485883551/6103515625000 -2163425823685087/2441406250000000
1252582913354107/2441406250000000 -4191181467181969/4882812500000000
4790951680814741/4882812500000000 7541415897846939/39062500000000000
-6007468414552483/19531250000000000 -2323050425258021/2441406250000000
-501054690381919/1953125000000000 -589925301719229/610351562500000
1418543206927183/9765625000000000 -483102387726209/488281250000000
939435694555181/1953125000000000 -856177236531757/976562500000000
-644218133232461/3906250000000000 601994002288941/610351562500000
-5828591074814231/9765625000000000 -7835493457544387/9765625000000000
607485710734709/610351562500000 1512381853521577/15625000000000000
7609320009714807/19531250000000000 2248499414721731/2441406250000000
-7211639058930001/9765625000000000 -1646201949267241/2441406250000000
-7206963332100141/19531250000000000 181529448325131/195312500000000
18336706297808/19073486328125 -1344014210536067/4882812500000000
-7797046108658127/39062500000000000 4784553561706181/4882812500000000
6745292422778391/19531250000000000 -229118813573639/244140625000000
4589571016317759/4882812500000000 -3333284144103061/9765625000000000
4748467774052881/4882812500000000 -22750047990609/97656250000000
-496491480308959/610351562500000 -2840002702272629/4882812500000000
