100
4366468875328931667/7959465257669509281 6087078865778955686/7925341531543742432
4053556187073274598/7809811488616911465 1716280838592569808/8086667817869485478
1097920323053965973/5769373406706386904 1245625252496508494/4780513871381623621
4359574844252962355/8440508501367309556 7592934906998636093/8458886496076406781
7292359032528881094/9110485069214247648 4754278064847247381/7399100504963032403
4625494632895617852/7732505014226493755 306792437243886581/7174620053276659943
1716989373927589742/8704981858396329442 2935359887919331783/3308301186654965109
2820491102064015031/7821958763327608698 9172675414698248/5841967743945981951
7291690685542899534/8007732058733604940 810060816756823785/7199606290283929023
3316596177773211369/5340595127960282396 813185547487246227/8564433474081508960
5302690961013933171/5926442822432111760 4682603488195154777/6584516423467261574
1322237395115695334/9132024611819387009 5684373155877020442/7791528903577992650
4654143488724421574/5481441368282758597 1416107961688731834/5513811612837993396
2584145035779791811/4093246887373804688 4691595547025621935/7825322959747891535
3450900220224183148/8200225849613081844 3837484931266637413/8005407486749002608
8552302082631859271/8919234385951688319 736880479557137843/8090443399720887200
2439725997053933854/4203267196845497707 2737155162133753884/4602904178817578723
1906473164285764455/7706233257837628224 5805044437702249442/8609002027020230379
3571651881735781397/5400717707874932254 1699153595025995642/6954426200738823724
3169436655643353100/5732012599162520882 1079152657213376722/9028085718612614544
7528424799109723379/7993100874097719477 3835729368957762201/6331460218421044953
7225018116884141773/8307462014084892503 3210968769654684116/9214728660522492227
2574617575116633448/5553974724414823730 4388861719268394138/4587774203452052986
1388204772733910290/2693025533801655162 128326959252195282/8511416317020191053
1505407053241432680/5388690706744097725 452157783194064772/4377456743676642972
8442050847991411729/8628699134561785961 2953075503209262435/5735805954672082860
2963396713675365296/8631108071868205391 6429502269759475528/7206082248489003519
12155011581159453/5818700670490452035 4665742618078529537/5633964480110066883
5834274918863195300/8816021721824679892 1946535507447849551/4508483504199544778
1550804335765665709/3752634425473430981 1822959835212620559/8475842133982229482
2281416304370530556/3412924196233921032 1724954351261915192/5022189560142408179
4295267850117130772/8577584751558078095 2297000214145895904/4863491711612077265
3202120554580563411/4839997430384064704 136923519014302589/5669770951088422187
7365667376957896201/8293054740861618547 1357252473335205007/7983611795959181631
5582124525662916842/7110046153746378129 2078598978565198276/8363654149596968678
2718473440827112571/5186836008986100259 6112035935179109491/6683861959382004468
4242352821134231024/4886049570861275658 3958589345562105842/6164216343990968936
3012965444068657351/3200478325197992490 1249459112726951530/7595700925312909100
4149020208100005244/8579165894913808866 5033153630051765208/7187244454719706750
2218195052745197605/5932106051794456827 22321237245515564/2435237261765513253
3370659472671294948/8013834337360278225 5408346045933648817/6728293214308228801
8089231770390819839/8535569640276984895 1135131563579834173/1537127137732379644
474825107546899328/1650973787083734047 6763002822673950882/7346592212658271919
1262160138446984746/4620108320634822746 7531259702186317662/7764367088531450815
3212998506596913970/5079733485367252241 2299801710233387429/4832217250210291150
1574939082125695923/4824834746415313317 6091595529030647585/6760258404476297653
791674696023450734/930701740671213331 5992051818389828149/6221856183743964157
2372762834107682404/8787651844910431569 8645195931298311871/8801307856603457075
867353798643242789/1212947579920838539 2156444412163251334/7637193553018579538
5513460937144852719/6487756114552434047 277270487875732914/6850769672416984100
146689436091836771/474878644440419091 658501394875560049/6227166273073239137
6119233567251725632/8147023048149594680 5605630620848858792/7397075702259172452
5518969217334948250/7621725589544879694 3997024599370816883/6582734260661871800
5601087813491707948/6020459484138480704 408512627536340728/9111577713130085682
1656913561700835633/2948580937851469388 3971356970088768941/8862627997820521936
456347890953925001/1546938786131389644 8027534590210601394/8065687262547428997
3439418802596392980/4502773423863457945 6349269307954512448/6408912250492917837
3807024952935220040/4675128609669202967 1440647368317121618/6309614887803712617
3717671609665815695/9170769502992564690 7867571228211804043/8680247093377999222
3730149336523480242/7623173266011555087 1062771633935089982/7400009866011802664
125077076506548053/5117098981620243633 1694419475633962694/1858032802191608320
4748581671074579368/4843055143505258664 2742256040486398853/6201255457667959613
1502694869945464585/4436608921925182071 2034454053170547285/6877335586989913647
5978457217076630520/8345784799507050023 1853348498381614280/7935692383672462641
1497980993673840133/7583394597532280834 3843086872696859214/4078319249770115547
6122581321036794988/7157705890110313549 4493924938976415486/4500808242216129097
688061224568029633/3242431772943143648 3943074081470338483/5727598601222479909
1046598244712982618/4884367751705262634 1155103313027556929/6712616001088012938
2102226735969083577/9101463111200606087 3397076468774806511/6487449576749849067
2066142843024917148/8289526742088260780 4895663707200474619/4924145132553509993
587108144299505725/6178795800075936622 2157992950543135893/3710653480518088329
948722261145539024/3546942371262145850 6204650594761253942/7096352687694144996
7865260775756377563/8866206336407540970 644166151468566630/7898224035740297595
3091545031647780988/4990401760648882539 626772841878781341/796913766013870962
5013593470653519025/8242636086978858588 7722569471700007581/9137685594732787562
3460344449287489739/5255583680133372692 1281047089005189936/3391030295891630309
6533117852513856674/6635991666419865320 481898379026275277/825361944504824909
2928284875574050341/5929874001615181639 7673206249776863805/8239096094406379114
2653255015937205217/5646443741852811349 5084524358209191308/7517715397163126083
6287496593443152919/6369140889604490102 9000284904667844547/9104533242338600842
4020699812058987629/5784533838746819171 1855787724484178523/4922090746525017936
4690332362297396610/6583845610835126469 5820884177192321844/8384998145296276183
8715833394191557918/8843249840717832553 4353456948087311112/8878479582621926781
4438817293936525382/9137882507042116559 853602184409578590/2429296735239822083
6173459681799024538/7276740884624730538 4608057273470019639/5016197923104862328
6964487979590084145/8627454880677167917 1073550814444259494/2292769388950743453
2254851928195855205/7541230019695210677 1318089032319396479/9217271288682281655
2950991151089268942/6651865176933568208 1132965605682556866/2885672507622923044
4892617425180428882/8266454583727057702 979958975201471906/7695207807638966994
2869625771940681684/3962973819045639285 2767721439000193188/7001367854529888858
2672225064120250390/8636488373322969364 4452213135182040624/7227031510523111582
