100
-121282237459837/122070312500000 -8863019627133169/78125000000000000
-710153590178953/976562500000000 670340357402263/976562500000000
4868813227788159/4882812500000000 -5911684171727467/78125000000000000
-2661021693092409/4882812500000000 4093998224113911/4882812500000000
-4621284937206689/4882812500000000 6306293287569579/19531250000000000
6425657376908147/19531250000000000 18443986928999/19531250000000
4651377361901727/9765625000000000 -8586740957884611/9765625000000000
5048348286882739/9765625000000000 835952218819671/976562500000000
8229557652253731/9765625000000000 -5257548144226267/9765625000000000
-3451439111014369/4882812500000000 -138156004418869/195312500000000
-978082278578607/1220703125000000 5843128891764731/9765625000000000
1828733759411739/2441406250000000 1293973060548479/1953125000000000
-2232028993535751/2441406250000000 1582715478808621/3906250000000000
5535109000257781/9765625000000000 -8045495633948869/9765625000000000
8581547098670797/19531250000000000 -438624822567501/488281250000000
-1947274351379723/2441406250000000 1472612331198453/2441406250000000
1193590896265711/3906250000000000 -2324641255492751/2441406250000000
-953416891785209/976562500000000 -8454163174661909/39062500000000000
-588523865820411/610351562500000 -5176556553050889/19531250000000000
-5394833960515323/9765625000000000 -2035055253842871/2441406250000000
978854593310087/1953125000000000 -4225326134439761/4882812500000000
413108907926957/9765625000000000 -4878441674111119/4882812500000000
-2676834381169853/4882812500000000 2041838363212381/2441406250000000
-4298455458056659/4882812500000000 -4632553760188507/9765625000000000
3882791336844699/4882812500000000 -5921415150005953/9765625000000000
258382072633577/488281250000000 -1657261759134697/1953125000000000
2436915264458711/2441406250000000 947296673708631/15625000000000000
2384099964733189/2441406250000000 8413807101351739/39062500000000000
-2941777257416299/4882812500000000 -779430676273509/976562500000000
4618303227606309/4882812500000000 -6341145900276887/19531250000000000
596565540229073/610351562500000 8255401170812453/39062500000000000
960399063433279/976562500000000 3538810837709773/19531250000000000
15580049864271/19073486328125 -88021788915609/152587890625000
-122015554879709/122070312500000 4679544373417739/156250000000000000
-3655442581087501/39062500000000000 4861385871375781/4882812500000000
-1070380679953781/1220703125000000 -4694857233127821/9765625000000000
-1760877091052023/3906250000000000 4358558558440681/4882812500000000
-6755784362853127/9765625000000000 -7051723851885733/9765625000000000
-7855755649595857/312500000000000000 1220317358439869/1220703125000000
4740718146427841/4882812500000000 1169379906739477/4882812500000000
-609260433970603/610351562500000 1167343791178683/19531250000000000
96107925184499/97656250000000 -6928317322908863/39062500000000000
4641714864544651/4882812500000000 47355258774657/152587890625000
-1958054977623081/2441406250000000 1166597838405551/1953125000000000
1871327438020893/2441406250000000 -125439339213801/195312500000000
4487667834316973/39062500000000000 -4850482810470451/4882812500000000
-808958677275709/976562500000000 5470467757574167/9765625000000000
-475161561687293/610351562500000 -6129284881298761/9765625000000000
8496656664182497/9765625000000000 4813964807892571/9765625000000000
-485581716487851/488281250000000 -4101883051887079/39062500000000000
4839602335050613/4882812500000000 64815673160811/488281250000000
2347487072973129/2441406250000000 2682592536374063/9765625000000000
444787496441657/488281250000000 -25181423619011/61035156250000
728615376958341/2441406250000000 -4660293600192553/4882812500000000
-8805369818906537/9765625000000000 2111450567318287/4882812500000000
-33855853825343/38146972656250 8999740853498451/19531250000000000
8964673327421/15625000000000 7998419207407939/9765625000000000
-3690911204238411/4882812500000000 1598361066263159/2441406250000000
1060744716486107/1220703125000000 -4832799707542279/9765625000000000
1220910550210853/1953125000000000 -762245809107671/976562500000000
-4858591215152807/4882812500000000 -7771938267525737/78125000000000000
4778462429898133/9765625000000000 -1703334711049793/1953125000000000
-1189411595548759/1220703125000000 1757568365408701/7812500000000000
-7613059272259947/9765625000000000 3058135059054859/4882812500000000
46804184114623/48828125000000 5564949457166299/19531250000000000
-2435253115637881/2441406250000000 1108637038576979/15625000000000000
-1255568849148777/4882812500000000 -4718623186397009/4882812500000000
4323846211590961/9765625000000000 8756242663330859/9765625000000000
659623735158883/976562500000000 -900148290232377/1220703125000000
-908907187299791/976562500000000 -7143165720632069/19531250000000000
-1128197628551093/1220703125000000 -3729117689246769/9765625000000000
-2793043796003269/9765625000000000 2339422177512973/2441406250000000
276339634562673/305175781250000 8287608041713309/19531250000000000
-1207915080443569/1220703125000000 1409846013078513/9765625000000000
7149227772925841/9765625000000000 -1663129089462293/2441406250000000
-1549452810190439/2441406250000000 943353124038397/1220703125000000
7500492887980343/9765625000000000 -1250760377977833/1953125000000000
-6995582752134681/9765625000000000 -851737687013481/1220703125000000
323164473648363/1562500000000000 191089433126693/195312500000000
-67274967505773/78125000000000 4964867779107369/9765625000000000
-2495835767955097/4882812500000000 2098372091023911/2441406250000000
4723721576458693/4882812500000000 4944997275234599/19531250000000000
6955337017377091/9765625000000000 3427488826215519/4882812500000000
5470435557403043/19531250000000000 468737707422019/488281250000000
8895940929511491/9765625000000000 -8057212078446793/19531250000000000
5921138803353009/9765625000000000 121340521654249/152587890625000
-4880507767753179/4882812500000000 192007846483457/6250000000000000
-4857617973425701/4882812500000000 -7926147665064409/78125000000000000
6318970465298733/19531250000000000 -577525312977761/610351562500000
209962146845517/976562500000000 -1192155488297793/1220703125000000
7137180424392469/9765625000000000 -333271988135419/488281250000000
-4688161783099329/4882812500000000 5459665932114413/19531250000000000
4420370959773593/4882812500000000 8296677395822051/19531250000000000
8835647121630079/19531250000000000 8709205855078437/9765625000000000
630715073960163/976562500000000 931960980176407/1220703125000000
-2440456742047811/2441406250000000 4357346237344601/156250000000000000
4529846646884073/4882812500000000 -911365358386713/2441406250000000
718588588562043/2441406250000000 -4666516867183691/4882812500000000
1229497405113873/7812500000000000 -75343231883421/76293945312500
2062661053935527/2441406250000000 130609871530319/244140625000000
