1000
-488230978470733/488281250000000 8968294498902109/625000000000000000
1674472120016841/1953125000000000 628378488934797/1220703125000000
-5714838066274339/9765625000000000 -7918841930287961/9765625000000000
-8308008648392751/78125000000000000 -4855124796163453/4882812500000000
-5714242649705931/9765625000000000 7919271594086589/9765625000000000
2783905763811223/4882812500000000 -320915955187023/390625000000000
-4351090110070119/4882812500000000 -8863293080300347/19531250000000000
-1200093792483391/1220703125000000 -7147614485593039/39062500000000000
996313487366289/1953125000000000 -1679897824427731/1953125000000000
-1406466799603733/1953125000000000 -423497851699723/610351562500000
941248727404811/31250000000000000 -4880597124515111/4882812500000000
-7971912261895091/39062500000000000 -9560097806569/9765625000000
-7390365119798863/9765625000000000 -6383567579080317/9765625000000000
5598816534330401/78125000000000000 -1217564415167331/1220703125000000
5076651063128289/9765625000000000 -8342364510368953/9765625000000000
-4882808943711923/4882812500000000 1206919660125589/1000000000000000000
-946529607995773/976562500000000 -4806496336984693/19531250000000000
-6154015426668967/9765625000000000 -3791290208126561/4882812500000000
981018996783853/2441406250000000 4471271052167723/4882812500000000
-1780556409084027/2441406250000000 -3340708518628261/4882812500000000
-2394113637434949/2441406250000000 -7651352714277861/39062500000000000
1515983973214171/1953125000000000 -769661517167707/1220703125000000
-187090155816019/195312500000000 1401839473020123/4882812500000000
4277496263204757/4882812500000000 -4709515316219107/9765625000000000
610226567547963/610351562500000 -1264820761731113/62500000000000000
-821801047315389/976562500000000 -1318894790718681/2441406250000000
-287261725677501/305175781250000 1648307421604657/4882812500000000
1910920046086901/2441406250000000 -759744867538159/1220703125000000
-1902052232314247/19531250000000000 971920680750297/976562500000000
3821367780879601/9765625000000000 8986911589855567/9765625000000000
6080257833837169/9765625000000000 7641851628675261/9765625000000000
731515789207591/1220703125000000 -977241408007643/1220703125000000
-386055060010727/2441406250000000 -301336242016787/305175781250000
-7736728673608623/9765625000000000 -1489766363217467/2441406250000000
6761750581204223/9765625000000000 7046003173303951/9765625000000000
-2477278128934721/9765625000000000 -236154775402339/244140625000000
6529215922146281/9765625000000000 -363100437491531/488281250000000
6887957954881829/78125000000000000 -4863797890815599/4882812500000000
1646019943128083/7812500000000000 4773207066730357/4882812500000000
1155472385494671/1220703125000000 1259839982703663/3906250000000000
4724279429849557/4882812500000000 -2468231576539439/9765625000000000
