1000
7806990888060459/9765625000000000 5866713297440567/9765625000000000
-4432525347715031/9765625000000000 8701732625315991/9765625000000000
1782692020480941/1953125000000000 7979388609026263/19531250000000000
-5993019066636667/19531250000000000 929453399893493/976562500000000
6491527539037653/9765625000000000 -3647859024501247/4882812500000000
1654463213874627/9765625000000000 2406114387276723/2441406250000000
-5758745936960783/19531250000000000 933148664195633/976562500000000
7320416226176391/9765625000000000 3231831443475913/4882812500000000
-4781982954194991/4882812500000000 -987166113653013/4882812500000000
-7737289628886099/9765625000000000 -2979168543375677/4882812500000000
-6255150948298201/39062500000000000 4819802888967563/4882812500000000
-238983485304949/244140625000000 7986450168152317/39062500000000000
-8882224240087621/9765625000000000 -2029379473473659/4882812500000000
280501044552397/1953125000000000 -966438879292169/976562500000000
-1374548325923139/3906250000000000 -1142631196404281/1220703125000000
4877112039468783/4882812500000000 -3773967745486767/78125000000000000
-838684559196867/976562500000000 -100056489358963/195312500000000
5206787514922169/9765625000000000 8261767087922269/9765625000000000
-4865103405062203/4882812500000000 -3323870208858677/39062500000000000
-1927716953003811/2441406250000000 37453069188659/61035156250000
-7680818735843201/19531250000000000 8978790983612717/9765625000000000
-6475113729705711/19531250000000000 17994807149948/19073486328125
-3751658419589767/4882812500000000 -6250413430446809/9765625000000000
1199742441565801/1220703125000000 1441552134741827/7812500000000000
-610322994696697/610351562500000 -604697713445729/62500000000000000
2412328577209729/4882812500000000 4245294895025967/4882812500000000
-2417498989895797/9765625000000000 -946166635823087/976562500000000
-303203682929163/305175781250000 -4433651206151763/39062500000000000
8357720514571623/156250000000000000 -1218955586821793/1220703125000000
-4149176603032047/4882812500000000 -5148277936167663/9765625000000000
4758485610236187/4882812500000000 -8758712626248741/39062500000000000
-7914552173896257/19531250000000000 -8927899955325077/9765625000000000
2436010728590407/2441406250000000 -648890841131181/9765625000000000
-4882663351389499/4882812500000000 4885019264347127/625000000000000000
-4797611481302131/4882812500000000 3632700339161973/19531250000000000
837090185366317/19531250000000000 -2439162915402739/2441406250000000
-244137695421327/244140625000000 1530898062230299/312500000000000000
4517820513049939/4882812500000000 -7409351628337187/19531250000000000
5514521932156119/9765625000000000 -1611924061491659/1953125000000000
6194044596042051/9765625000000000 1887479191654627/2441406250000000
4610154001666173/4882812500000000 10296520000201/31250000000000
7997936793711953/39062500000000000 477936958658937/488281250000000
-1558162437159403/1953125000000000 -1177636227809959/1953125000000000
8976886475749543/9765625000000000 7689718029194557/19531250000000000
2427314757231373/2441406250000000 -209544338969473/1953125000000000
4794997328353753/4882812500000000 -7375021762621713/39062500000000000
-2276450875628881/2441406250000000 -1764353579515811/4882812500000000
1980480903881181/4882812500000000 69736448090401/76293945312500
-244118041686867/244140625000000 8500779943635413/625000000000000000
4882810367838841/4882812500000000 1168153604498539/1250000000000000000
-581005919660023/610351562500000 2991664202170391/9765625000000000
4882698981686219/4882812500000000 8523548339539407/1250000000000000000
-2187632716537089/2441406250000000 -2167697003804377/4882812500000000
-4999277443441833/9765625000000000 8388960405444687/9765625000000000
-8754120126562771/9765625000000000 2164070958305989/4882812500000000
6659698484558771/9765625000000000 -7142537905772051/9765625000000000
1237198494274993/1953125000000000 -3778257825530083/4882812500000000
