1000
7798180202707779/9765625000000000 -183700612959991/305175781250000
2746113754286983/4882812500000000 1614965865084317/1953125000000000
1639279028325231/1953125000000000 2654549788709573/4882812500000000
7309960183302731/9765625000000000 1295097120051677/1953125000000000
240386233081567/305175781250000 -1203246235816361/1953125000000000
-2661809955520999/4882812500000000 8186971520860579/9765625000000000
-8920460895043669/9765625000000000 -3974016741361529/9765625000000000
1479965099904327/2441406250000000 7766767956471199/9765625000000000
4803135778888871/19531250000000000 -946572254574443/976562500000000
-3918547020660813/39062500000000000 4858182362482763/4882812500000000
-2040739292125787/2441406250000000 -5360369568024959/9765625000000000
727282850829381/1953125000000000 -4531664236592949/4882812500000000
1095689858688439/1220703125000000 -4305009940631119/9765625000000000
-4600308909709277/4882812500000000 -3273539885448593/9765625000000000
8805937445099341/19531250000000000 -4358362595886049/4882812500000000
6614852389316021/9765625000000000 718409072243559/976562500000000
1215837744490607/4882812500000000 147781763748143/152587890625000
8368395029079237/9765625000000000 -314601659580133/610351562500000
-5217433951013143/9765625000000000 16123140284907/19073486328125
-1219158624056121/1220703125000000 3928770609203703/78125000000000000
8557726798816407/9765625000000000 4704545002170189/9765625000000000
-1062773605146973/1953125000000000 -8193304476564853/9765625000000000
-4045968463919247/4882812500000000 1093398159802891/1953125000000000
-7469056878832861/19531250000000000 -4511671779280239/4882812500000000
-5360088454570183/9765625000000000 4081570880182299/4882812500000000
238542168263823/305175781250000 6090928403425771/9765625000000000
6527031539246613/9765625000000000 -907996514708903/1220703125000000
24934642072393/38146972656250 1478124711252511/1953125000000000
-1209867753427917/1220703125000000 1038618427074197/7812500000000000
5712033375478181/19531250000000000 -583666349466821/610351562500000
-3052277373223653/312500000000000000 4882579584515761/4882812500000000
23590519333703/24414062500000 5030075646037377/19531250000000000
-7734278213587169/9765625000000000 1490561390790729/2441406250000000
2265330041244863/2441406250000000 -7282831457163277/19531250000000000
1151841034976837/9765625000000000 4848729056948029/4882812500000000
3938370695551753/4882812500000000 -5772726972437013/9765625000000000
-916539367558481/976562500000000 674180700173921/1953125000000000
-2295735936311523/2441406250000000 1661398192206693/4882812500000000
734633891448077/976562500000000 1608546241840177/2441406250000000
7546063559258403/19531250000000000 -900731163169861/976562500000000
152042034979283/152587890625000 -6602298361497351/78125000000000000
-2266900606159463/2441406250000000 -7251487546518097/19531250000000000
-2430267111303379/19531250000000000 4844865376936553/4882812500000000
-4882399696053843/4882812500000000 4063429568578491/312500000000000000
384347274346521/610351562500000 7586197193089529/9765625000000000
3982345455530993/4882812500000000 -1130152738914021/1953125000000000
1175581759814827/1220703125000000 1315286404554933/4882812500000000
-6514592991079723/19531250000000000 4603190501727273/4882812500000000
-8876599914933009/19531250000000000 4349394358073829/4882812500000000
-6905436793044947/78125000000000000 -2431850537916929/2441406250000000
-2440313177967651/2441406250000000 4675098578605983/156250000000000000
-2365143591492771/2441406250000000 4843537676763051/19531250000000000
-214372202007571/390625000000000 -8163656106159833/9765625000000000
6022279792151499/19531250000000000 580612782994741/610351562500000
2305432422967527/2441406250000000 -6427171424726819/19531250000000000
1218633804280003/1220703125000000 -2273525223443249/39062500000000000
4244472976185683/9765625000000000 439749590093767/488281250000000
-8213422817986813/9765625000000000 -264135936846913/488281250000000
-8928859932097661/39062500000000000 4753542045416931/4882812500000000
1220296865551049/1220703125000000 -64493445411597/2500000000000000
-1813270921625353/4882812500000000 -4533641635037357/4882812500000000
163401967965593/244140625000000 -72558325934781/97656250000000
-4669965837606421/4882812500000000 356482554424583/1220703125000000
-125521062270423/195312500000000 935235506410739/1220703125000000
-3886199986528197/4882812500000000 -92382249667231/152587890625000
-2403918942437677/2441406250000000 340952262444707/1953125000000000
-7184627395235357/9765625000000000 6614269485911397/9765625000000000
-1586739691004421/1953125000000000 5694195330808811/9765625000000000
5979350531959571/156250000000000000 -4879235926833533/4882812500000000
-188408165911539/244140625000000 6210572636173333/9765625000000000
-2435556339593923/2441406250000000 5405044797574197/78125000000000000
-4830083249280079/4882812500000000 35782457824339/244140625000000
-6926693839864051/9765625000000000 68839192390247/97656250000000
4706685352471147/4882812500000000 -5198416532737333/19531250000000000
-4115754455546463/4882812500000000 5254492619389883/9765625000000000
-4720878082906089/4882812500000000 249412753201851/976562500000000
-5200693949766803/9765625000000000 2066401069515003/2441406250000000
1254835209355599/1953125000000000 748345819622601/976562500000000
-1940354196181113/2441406250000000 592687448276261/976562500000000
-300657602085813/781250000000000 4506750877191111/4882812500000000
4281864968619453/4882812500000000 -4693608548085697/9765625000000000
8680478021642691/312500000000000000 244046418450903/244140625000000
-610341594298827/610351562500000 7144002606258123/1250000000000000000
2581688401666397/4882812500000000 8288966861281919/9765625000000000
-4824521327627189/4882812500000000 188057815150461/1220703125000000
-8851491155471453/9765625000000000 103133820729537/244140625000000
-357317736967083/390625000000000 -315670242333499/781250000000000
8207582818956689/9765625000000000 5291787591220189/9765625000000000
-156083796463193/244140625000000 7509193645874599/9765625000000000
-4821326247617609/19531250000000000 -2365852580785273/2441406250000000
295627339584349/1220703125000000 4737460240213181/4882812500000000
4498465739996151/4882812500000000 -3797717154416391/9765625000000000
3432657142181967/4882812500000000 694513437001283/976562500000000
1349914184854449/1953125000000000 -3528835642915511/4882812500000000
-2435842649624817/2441406250000000 -5271271700377561/78125000000000000
-1775668862473481/1953125000000000 1016809775464367/2441406250000000
-3860539190156113/4882812500000000 5979329417727387/9765625000000000
-8698197968342933/9765625000000000 -2219728797856839/4882812500000000
4693118463910453/39062500000000000 -4847443825960143/4882812500000000
579870405972233/610351562500000 -3047541892032007/9765625000000000
-219982919751159/1220703125000000 4802871864878381/4882812500000000
931283733039179/976562500000000 -73478281222609/244140625000000
-2439877471230899/2441406250000000 2764326425918663/78125000000000000
-8956813533594211/9765625000000000 -389139087795721/976562500000000
-877834231893371/976562500000000 4278800973665699/9765625000000000
-3557078080828779/9765625000000000 -4547379112398493/4882812500000000
-3874969112903283/4882812500000000 5941875893756717/9765625000000000
-4451654303773793/4882812500000000 -501537129099663/1220703125000000
-2815832382707899/9765625000000000 -935085662563161/976562500000000
2174332885152821/4882812500000000 4371971456299693/4882812500000000
2750231136693137/9765625000000000 93703607366733/97656250000000
-4356595169062011/4882812500000000 8819919675880771/19531250000000000
-2308241882640921/2441406250000000 3181154227663563/9765625000000000
2424747032257621/4882812500000000 8476428431766319/9765625000000000
-954974571484307/976562500000000 -1633604784020693/7812500000000000
-2339237798843459/2441406250000000 -5591027085613931/19531250000000000
7534027044063263/9765625000000000 1553340516032069/2441406250000000
-930285748141423/3906250000000000 4742322329517363/4882812500000000
7737465076999611/9765625000000000 -744763656123081/1220703125000000
6588714476870423/9765625000000000 1441614000804697/1953125000000000
1401650980081047/3906250000000000 -911529058523981/976562500000000
-5688527391947047/19531250000000000 467112394580769/488281250000000
-1219607112042087/1220703125000000 3309865447726039/78125000000000000
-492369450316069/1220703125000000 1787199601633057/1953125000000000
394286468847841/488281250000000 720055378013833/1220703125000000
4522194506392747/4882812500000000 7366534877683001/19531250000000000
-701212695895483/2441406250000000 2338539123609877/2441406250000000
3825455843453583/4882812500000000 -60688534337033/97656250000000
-2351413093619649/2441406250000000 525400230342171/1953125000000000
7162070326290693/9765625000000000 6638688144648107/9765625000000000
