100
145445348404968227/7254752416004948102 3210712908863055665/9123468051173591837
5450800962990783178/5967739218467085033 3804185332519548199/8618458544071249052
1993111116860084707/7431832778269136527 5937246331589245766/6081603569588691483
4444070628442618476/5087152895497025084 1105495107225140500/5076173993150621092
4110163476341187033/8389342249672303825 2557342287356591494/8140717491549437264
1823013554517498417/3099349552750317461 4212194938903830448/6743765657126726350
326749675431828192/1968707734897683291 5119127247876395912/8925384089773597081
473917040844872797/7598728380495066365 5461820481948425845/5965920358775419714
4142347454086847509/7347655975751961241 1315755163084718187/2130324845447340334
328295588653085270/2110106668221358892 3422031750317354678/8799623819532190793
1236401534907943443/8961965467184845774 1993337827706207323/4202876458988621848
6910746011463698114/7589285391965399986 3203654765477714841/8916730554392304088
3046132289385474877/5756836881434139791 5732651257771255585/6033284511049238739
453168039515499264/6695701936006850785 4694142302410769760/6018774150634184997
3768359270404884106/8214169380586999706 5986681599860286414/7712069132342669424
2879887660730847182/3860859961026294069 3784596584967698667/6075267714769775918
1495658436968898000/1606791199453851252 5748431654676891644/7008633046607231435
4639805505459740928/8951303186371898904 1994656516561200301/5438051696768471829
4815620298347445767/5466670749230461492 4961107144863106481/5595054372376275251
5358824121041401327/6749156147245595674 1413092196491379892/7320549091693296161
7377974470374809558/7864102505456197160 6750894522675502349/7425969552419855742
4252421586110098718/6541311104584159529 4336993854098011500/8344633772447887882
1835539637381202007/6139583971878344626 3007716038952786116/6416889555368211235
7631265310789154701/8383619976628079467 5283740041413939362/6649444016274892101
976719389554811999/2408611311050473238 6330535282311371127/8209458980432909972
1002730424680378759/3255924829611132583 4527015365015591514/7936239920803173167
1166631912453565144/4924834612183576967 4246974629705626285/5549377084617787856
3700163135371910252/4790715279920415032 3954424093695420052/6598025151367853451
7197550121927638540/8307590348230536680 199070467232866114/4864656642483903324
297469553742254468/2123037194520204144 714048996483136438/8805522501827103318
1718133953359136812/5386136103682550433 67640004082011573/252815998243046437
284849859004261581/1978828962017343074 5701548982084153065/7037492363473260848
2914018804115868152/4163472439814522695 1766840933411411099/3675341573777301893
1951985612785884375/4922444314888343553 3899941422137174651/4588452564971598905
6331575375485640551/6888924730816972859 1824140624352189551/5687718994432176660
1395324254845639557/1924074298579547142 974465773083783525/2065772728605930111
2984627951837280837/7841213167026813467 6213505437125862246/8754970743866559866
2253086893431722518/7449996605784545292 7757570828504432716/8916440289736944675
4354446192181297547/6690840984655674014 5685025956190237476/5977683471689925427
2720365079396812651/5104060785848317679 1734230252800532580/7258737821269752104
2965470677557704484/6893806149585355116 807729364113922970/988544373743510477
6802036096638599887/7575778937914571624 5362995500082851557/8457468242805457100
3211023207487356547/3917756869485396993 4148031242833023833/7431319159037465336
4244521076557596592/7170645651651207643 865618195963216217/3325698126227314634
3144881532313200403/4012235581269313796 1175254913635732946/5149308808136500865
5516669613250187607/8983249966156729207 5967496895100631255/9034505617176836556
2523077516820160289/5224446415150468774 4341767361962587105/4548478825075310803
3278221023822767815/8641180667090195855 6258323571912276104/6332852516394269621
3825450295610640975/5471045198986050761 1803738664868443075/3615596940399049785
2706889702136805562/4797475540591568951 6595461208656308773/6835586764448050667
382438427156283796/2955455952080062318 51802464234496/2738564094348173324
1066041362031440929/2332197065148779930 1775838269561356092/8840117388640903987
4049337665173860477/8012247114640842927 605901436201341202/2032944461194299692
8225877907873516756/8412982565145809552 2784656607090371414/7314823358354964862
6787145716518301359/8492691893007661673 1740707976297450789/4368148498656028470
3711621691285364591/8886038502700501219 8869203822829468934/9205366169451134710
3614112915049044695/4332756983791343952 1334300750384183734/5868431295041150772
1597532682910130575/8497522373205868352 3707486081130655262/6645029212753119929
